Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,2.05.01,,,,,
Organisasi,Dinas Kelautan dan Perikanan,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
2.05 . 2.05.01 . 00.00 . 4 ,PENDAPATAN ,219275050,219275050,0,0,
2.05 . 2.05.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,219275050,219275050,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.2 ,Retribusi Daerah ,77067500,77067500,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,77067500,77067500,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.2.02.13 ,Retribusi Penjualan Produksi Usaha Daerah ,77067500,77067500,0,0,"Berdasarkan: Perda Kab. Bantul No. 07 Thn 2011
Penjualan hasil usaha produksi perikanan1 Tahun x 77.067.500,00 = 77.067.500,00"
2.05 . 2.05.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,142207550,142207550,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.4.14 ,Hasil Penerimaan Dana Bergulir ,4000000,4000000,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.4.14.01 ,Hasil Pengelolaan Dana Bergulir dari Masyarakat ,4000000,4000000,0,0,"Berdasarkan: Perda Kab. Bantul No. 7 Thn 2012 TentDana Bergulir Perikanan/Gurami1 Tahun x 4.000.000,00 = 4.000.000,00"
2.05 . 2.05.01 . 00.00 . 4.1.4.23 ,Penerimaan Lain-lain ,138207550,138207550,0,0,
2.05 . 2.05.01 . 00.00 . 4.1.4.23.01 ,penerimaan lain-lain ,138207550,138207550,0,0,"Perbub No. 02 th 2009Sewa Kawasan BAT1 Tahun x 90.431.550,00 = 90.431.550,00
Sewa Kapal1 Tahun x 47.776.000,00 = 47.776.000,00"
2.05 . 2.05.01 . 00.00 . 5 ,BELANJA ,12705400625,13321956795,616556170,4.85,
2.05 . 2.05.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,2935271000,2909665000,-25606000,-0.87,
2.05 . 2.05.01 . 00.00 ,Non Kegiatan ,2935271000,2909665000,-25606000,-0.87,Sumber Dana : Dana Alokasi Umum (D A U)
2.05 . 2.05.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,2935271000,2909665000,-25606000,-0.87,
2.05 . 2.05.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,2935271000,2909665000,-25606000,-0.87,
2.05 . 2.05.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,2211623240,2223211080,11587840,0.52,"Gaji Pokok1 thn x 2.223.211.080,00 = 2.223.211.080,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,227102644,224856825,-2245819,-0.99,"Tunjangan Keluarga1 thn x 224.856.825,00 = 224.856.825,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,178054000,157820000,-20234000,-11.36,"Tunjangan jabatan1 thn x 157.820.000,00 = 157.820.000,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,107754000,100800000,-6954000,-6.45,"Tunjangan Fungsional Umum1 thn x 100.800.000,00 = 100.800.000,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,167434960,143942780,-23492180,-14.03,"tunjangan beras1 thn x 143.942.780,00 = 143.942.780,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,43236068,58993315,15757247,36.44,"tunjangan PPh1 thn x 58.993.315,00 = 58.993.315,00"
2.05 . 2.05.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,66088,41000,-25088,-37.96,"pembulatan gaji1 thn x 41.000,00 = 41.000,00"
2.05 . 2.05.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,9770129625,10412291795,642162170,6.57,
2.05 . 2.05.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,327220000,341720000,14500000,4.43,
2.05 . 2.05.01 . 01.01 ,Pelayanan Jasa Surat Menyurat ,3800000,3800000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,3800000,3800000,0,0,
2.05 . 2.05.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3800000,3800000,0,0,
2.05 . 2.05.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",3800000,3800000,0,0,"Materai, perangko, dan benda pos lainnya
Materai dan perangko (sekretariat)1 LS x 2.400.000,00 = 2.400.000,00
Materai (bidang tangkap)1 LS x 300.000,00 = 300.000,00
Materai (bidang budidaya)1 LS x 800.000,00 = 800.000,00
Materai (bidang binus wasdal)1 LS x 300.000,00 = 300.000,00"
2.05 . 2.05.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik ",30000000,30000000,0,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Bantul"
2.05 . 2.05.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,30000000,30000000,0,0,
