Judul,Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.01.01,,
Nama Dinas,Dinas Pendidikan,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.01 . 1.01.01 . 00 . 00 . 5,BELANJA,555503665068.00,
1.01 . 1.01.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,515066093398.00,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,515066093398.00,
1.01 . 1.01.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,40437571670.00,
1.01 . 1.01.01 . 01,Program Pelayanan Administrasi Perkantoran,558892525.00,
1.01 . 1.01.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,128672525.00,
1.01 . 1.01.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,128672525.00,
1.01 . 1.01.01 . 01 . 27,Penyediaan Jasa  keuangan,365179000.00,
1.01 . 1.01.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,364860000.00,
1.01 . 1.01.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,319000.00,
1.01 . 1.01.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",65041000.00,
1.01 . 1.01.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,65041000.00,
1.01 . 1.01.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,1704465200.00,
1.01 . 1.01.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,1055000000.00,
1.01 . 1.01.01 . 11 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1755000.00,
1.01 . 1.01.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,1053245000.00,
1.01 . 1.01.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,649465200.00,
1.01 . 1.01.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,649465200.00,
1.01 . 1.01.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",74030250.00,
1.01 . 1.01.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,8800000.00,
1.01 . 1.01.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,896000.00,
1.01 . 1.01.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7904000.00,
1.01 . 1.01.01 . 12 . 02,Penyusunan Laporan Keuangan,18239950.00,
1.01 . 1.01.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,6908000.00,
1.01 . 1.01.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,11331950.00,
1.01 . 1.01.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",46990300.00,
1.01 . 1.01.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,13590000.00,
1.01 . 1.01.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,33400300.00,
1.01 . 1.01.01 . 15,Program Pendidikan Anak Usia Dini,734129850.00,
1.01 . 1.01.01 . 15 . 56,Pembangunan/ Rehabilitasi Sarana Prasarana PAUD,361711550.00,
1.01 . 1.01.01 . 15 . 56 . 5 . 2 . 1,Belanja Pegawai,1140000.00,
1.01 . 1.01.01 . 15 . 56 . 5 . 2 . 2,Belanja Barang dan Jasa,147453550.00,
1.01 . 1.01.01 . 15 . 56 . 5 . 2 . 3,Belanja Modal,213118000.00,
1.01 . 1.01.01 . 15 . 92,Pengadaan Sarana PAUD,180000000.00,
1.01 . 1.01.01 . 15 . 92 . 5 . 2 . 1,Belanja Pegawai,10585000.00,
1.01 . 1.01.01 . 15 . 92 . 5 . 2 . 2,Belanja Barang dan Jasa,169415000.00,
1.01 . 1.01.01 . 15 . 100,Pembinaan Satuan PAUD,192418300.00,
1.01 . 1.01.01 . 15 . 100 . 5 . 2 . 1,Belanja Pegawai,31300000.00,
1.01 . 1.01.01 . 15 . 100 . 5 . 2 . 2,Belanja Barang dan Jasa,161118300.00,
1.01 . 1.01.01 . 16,Program Wajib Belajar Pendidikan Dasar,23644426845.00,
