Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Gunungkidul,,,,,
tahun ,2015,,,,,
Kode Organisasi,2.02,,,,,
Nama Organisasi,Dinas Kehutanan dan Perkebunan,,,,,
Kolom,4,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,
2.02.2.02.01.00.00.4. ,PENDAPATAN ,25000000,,,,
2.02.2.02.01.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,25000000,,,,
2.02.2.02.01.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,25000000,,,,
2.02.2.02.01.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,25000000,,,,
2.02.2.02.01.00.00.4.1.2.02.13. ,Retribusi Penjualan Produksi Usaha Daerah ,25000000,Dasar Hukum:Berdasarkan Perda No 17 Tahun 2011LD Tahun 2011 No 8 Seri C. tentang Retribusi  Penjualan Produksi Usaha Daerah Penjualan Hasil Kebun Bibit 25000000.00 JUMLAH PENDAPATAN ,,,
2.02.2.02.01.00.00.5. ,BELANJA DAERAH ,9559616212.59,,,,
2.02.2.02.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,3119169790.59,,,,
2.02.2.02.01.00.00.5.1.1. ,BELANJA PEGAWAI ,3119169790.59,,,,
2.02.2.02.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,3119169790.59,,,,
2.02.2.02.01.00.00.5.1.1.01.001. ,Gaji Pokok ,2452573569.42, Golongan I = 1 orang 26106440.10 Golongan II = 3 98139978.30 Golongan III = 42 org 1941857585.46 Golongan IV = 7 orang 386469565.56,,,
2.02.2.02.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,210896569.17, Istri/Suami = 35 159852913.74 Anak = 56 orang 51043655.43,,,
2.02.2.02.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,170105000, Eselon IIb = 1 orang 26325000.00 Eselon IIIa = 1 orang 16250000.00 Eselon IIIb = 4 orang 50960000.00 Eselon IVa = 10 orang 70200000.00 Eselon IV b = 1 orang 6370000.00,,,
2.02.2.02.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,105430000, Golongan 1 = 1 orang 2275000.00 Golongan II = 4 orang 9360000.00 Golongan III = 39 orang 93795000.00,,,
2.02.2.02.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,127980000, Tunjangan Beras = 158 orang 127980000.00,,,
