Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulonprogo,,
Tahun,2015,,
Kode Organisasi,1.20.01,,
Nama Organisasi,Sekretariat Daerah,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 00 . 00 . 4 ,PENDAPATAN ,"21875000,00",
1.20 . 1.20.03 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,"21875000,00",
1.20 . 1.20.03 . 00 . 00 . 4 . 1 . 2 ,Hasil Retribusi Daerah ,"21875000,00",
1.20 . 1.20.03 . 00 . 00 . 4 . 1 . 2 . 02 ,Retribusi Jasa Usaha ,"21875000,00",
1.20 . 1.20.03 . 00 . 00 . 4 . 1 . 2 . 02 . 03 ,Retribusi Pemakaian Kekayaan Daerah - Ruangan ,"21875000,00","Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C sebagaimana telah diubah dengan Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2014, Lembaran Daerah Kabupaten Kulon Progo Tahun 2014 Nomor 8, TLD Nomor 18"
1.20 . 1.20.03 . 00 . 00 . 5 ,BELANJA ,"20920816319,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,"10352933656,00",
1.20 . 1.20.03 . 00 . 00 ,Non Kegiatan ,"10352933656,00",Sumber Dana : 
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,"10352933656,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,"10320424906,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,"7894127418,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,"797122465,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,"589810000,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,"14124500,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,"336472500,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,"480398055,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,"208235906,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,"134062,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 02 ,Belanja Tambahan Penghasilan PNS ,"26400000,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 02 . 03 ,Tambahan Penghasilan Berdasarkan Kondisi Kerja ,"26400000,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 06 ,Insentif Pemungutan Retribusi Daerah ,"6108750,00",
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 06 . 16 ,Insentif Pemungutan Retribusi Daerah - Pemakaian Kekayaan Daerah ,"6108750,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,"10567882663,00",
1.20 . 1.20.03 . 01 ,Program Pelayanan Administrasi Perkantoran ,"1879368350,00",
1.20 . 1.20.03 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,"390723750,00",Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,"675000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"675000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,"675000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"390048750,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"155655800,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"120067800,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,Belanja Perangko  Materai Dan Benda Pos Lainnya ,"16621000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 . 08 ,Belanja Pengisian Tabung Gas ,"11520000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 . 09 ,Belanja Peralatan Pendukung Kantor ,"5947000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 01 . 10 ,Belanja Peralatan Pendukung Rumah Tangga ,"1500000,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"48650250,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,"47250250,00",
1.20 . 1.20.03 . 01 . 26 . 5 . 2 . 2 . 03 . 07 ,Belanja Paket/Pengiriman ,"1400000,00",
