Judul;Penjabaran Anggaran Pendapatan dan Belanja Daerah;;
Daerah;Kota Yogyakarta;;
Tahun;2014;;
Kode Organisasi;1.22.01;;
Nama Organisasi;Kantor Pemberdayaan Masyarakat dan Perempuan ;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.22.01 ;Kantor Pemberdayaan Masyarakat dan Perempuan ;6677592880;
1.22.1.22.01.00 ;BELANJA TIDAK LANGSUNG ;1124184205;
1.22.1.22.01.00.00.5.1.1 ;BELANJA PEGAWAI ;1124184205;
1.22.1.22.01.00.00.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;1124184205;Belanja Gaji Dan Tunjangan 1.124.184.205
1.22.1.22.01.00.00.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi ;861095468;
1.22.1.22.01.00.00.5.1.1.01.02 ;Tunjangan Keluarga ;93501622;
1.22.1.22.01.00.00.5.1.1.01.03 ;Tunjangan Jabatan Struktural ;45571500;
1.22.1.22.01.00.00.5.1.1.01.05 ;Tunjangan Umum ;36596625;
1.22.1.22.01.00.00.5.1.1.01.06 ;Tunjangan Beras ;64330200;
1.22.1.22.01.00.00.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus ;23072689;
1.22.1.22.01.00.00.5.1.1.01.08 ;Pembulatan Gaji ;16101;
1.22.1.22.01.00.00 ;BELANJA LANGSUNG ;5553408675;
1.22.1.22.01.01.00 ;Program Pelayanan Administrasi Perkantoran ;334923700;
1.22.1.22.01.01.01 ;Penyediaan jasa surat menyurat ;3900000;
1.22.1.22.01.01.01.5.2.2 ;BELANJA BARANG DAN JASA ;3900000;
1.22.1.22.01.01.01.5.2.2.01 ;Belanja Bahan Pakai Habis ;3900000;
1.22.1.22.01.01.01.5.2.2.01.04 ;Belanja Perangko, Materai, dan Benda Pos Lainnya ;3900000;Belanja Perangko, Materai, dan Benda Pos Lainnya 3.900.000
1.22.1.22.01.01.06 ;Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ;2085000;
1.22.1.22.01.01.06.5.2.2 ;BELANJA BARANG DAN JASA ;2085000;
1.22.1.22.01.01.06.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;2085000;
1.22.1.22.01.01.06.5.2.2.05.05 ;Belanja STNK ;2085000;Belanja STNK 2.085.000
