Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,2.01.01,,
Organisasi,Dinas Pertania dan Kehutanan,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
2.01 . 2.01.01 . 00 . 00 . 4 ,PENDAPATAN ,3710463200,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 , PENDAPATAN ASLI DAERAH ,3710463200,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 , Hasil Retribusi Daerah ,3670463200,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 01 , Retribusi Jasa Umum,44000000,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 01 . 48 , Retribusi Pelayanan Kesehatan Hewan,44000000,"PERDA Kab Bantul no. 08 Tahun 2013Retribusi Pelayanan Kesehatan Hewan1 tahun x 44.000.000,00 = 44.000.000,00"
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 , Retribusi Jasa Usaha,3626463200,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 . 21 , Retribusi Tempat Rekreasi dan Olahraga,1699000000,"Perda Kab. Bantul Nomor 8 Tahun 2015Retribusi tempat rekreasi dan olahraga1 tahun x 1.699.000.000,00 = 1.699.000.000,00"
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 . 26 , Retribusi Penjualan Produksi Usaha Daerah,1837463200,"Perda Kab. Bantul Nomor 8 Tahun 2015Hasil Perkebunan dan Hortikultura1 tahun x 2.000.000,00 = 2.000.000,00
Hasil tanaman pangan1 tahun x 31.000.000,00 = 31.000.000,00
Perbenihan/Pembibitan1 tahun x 1.432.463.200,00 = 1.432.463.200,00
Hasil Penetasan1 tahun x 61.000.000,00 = 61.000.000,00
Pengolahan Pupuk Organik1 tahun x 300.000.000,00 = 300.000.000,00
Kebun Buah Mangunan (hasil usaha/buah, dll)1 tahun x 11.000.000,00 = 11.000.000,00"
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2 . 02 . 31 , Retribusi Rumah Potong Hewan,90000000,"Perda Kab. Bantul Nomor 7 Tahun 2011Retribusi Rumah Potong Hewan1 tahun x 90.000.000,00 = 90.000.000,00"
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 4 , Lain-lain Pendapatan Asli Daerah yang Sah ,40000000,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 4 . 18 , Lain-lain PAD yang Sah Lainnya,40000000,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 4 . 18 . 01 , Lain-lain PAD yang Sah Lainnya,40000000,"Perbup Bantul No. 02 Tahun 2009Kebun Buah Mangunan (sewa fasilitas)1 tahun x 40.000.000,00 = 40.000.000,00"
2.01 . 2.01.01 . 00 . 00 . 5 ,BELANJA ,24839535220,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 , BELANJA TIDAK LANGSUNG ,9824211800,
2.01 . 2.01.01 . 00 . 00 , Non Kegiatan ,9824211800,Sumber Dana : 
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 , Belanja Pegawai ,9824211800,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1 . 01 , Belanja Gaji dan Tunjangan,9824211800,
