"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2016,,
"Kode Organisasi","1.20.10.",,
"Nama Organisasi","Badan Penanggulangan Bencana Daerah",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"1.20.1.20.10.00.00.4.","Pendapatan",0,
,"JUMLAH PENDAPATAN",0,
"1.20.1.20.10.00.00.5.","Belanja",19986346808,
"1.20.1.20.10.00.00.5.1.","Belanja Tidak Langsung",3361215288,
"1.20.1.20.10.00.00.5.1.1.","Belanja Pegawai",3361215288,
"1.20.1.20.10.00.00.5.1.1.01.","Gaji Dan Tunjangan",3361215288,"Gaji Dan Tunjangan 3.361.215.288,00"
"1.20.1.20.10.00.00.5.2.","BELANJA LANGSUNG",16625131520,
"1.20.1.20.10.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",1607067780,
"1.20.1.20.10.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA",1413266700,
"1.20.1.20.10.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",163994000,
"1.20.1.20.10.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",160300000,
"1.20.1.20.10.45.","PROGRAM PENCEGAHAM DINI BENCANA",5845000000,
"1.20.1.20.10.45.005.","Pembentukan dan Pengembangan Desa/Kelurahan Tangguh Bagi Masyarakat",1500000000,"Pembentukan dan Pengembangan Desa/Kelurahan Tangguh Bagi Masyarakat 1.500.000.000,00"
"1.20.1.20.10.45.006.","Pembentukan dan Pengembangan Sekolah Siaga bencana",1000000000,"Pembentukan dan Pengembangan Sekolah Siaga bencana 1.000.000.000,00"
"1.20.1.20.10.45.031.","Peningkatan Kesiapsiagaan Penanggulangan Bencana",385000000,"Peningkatan Kesiapsiagaan Penanggulangan Bencana 385.000.000,00"
"1.20.1.20.10.45.032.","Peningkatan Kapasitas Aparat dan Masyarakat Menghadapi Bencana",1300000000,"Peningkatan Kapasitas Aparat dan Masyarakat Menghadapi Bencana 1.300.000.000,00"
"1.20.1.20.10.45.033.","Peningkatan Kapasitas Unsur Penanggulangan Bencana (PB)",350000000,"Peningkatan Kapasitas Unsur Penanggulangan Bencana (PB) 350.000.000,00"
"1.20.1.20.10.45.034.","Pelaksanaan Pusat Pengendalian Operasi Penanggulangan Bencana",1310000000,"Pelaksanaan Pusat Pengendalian Operasi Penanggulangan Bencana 1.310.000.000,00"
"1.20.1.20.10.46.","PROGRAM PENENGGULANGAN KORBAN BENCANA",3881903040,
"1.20.1.20.10.46.020.","Peningkatan Kapasitas Tim Reaksi Cepat (TRC) dan Tim SAR BPBD DIY",931903040,"Peningkatan Kapasitas Tim Reaksi Cepat (TRC) dan Tim SAR BPBD DIY 913.903.040,00"
"1.20.1.20.10.46.021.","Latihan dan Gladi Penanggulangan Bencana",1000000000,"Latihan dan Gladi Penanggulangan Bencana 1.000.000.000,00"
"1.20.1.20.10.46.022.","Penanganan Kewaspadaan Bencana",500000000,"Penanganan Kewaspadaan Bencana 500.000.000,00"
"1.20.1.20.10.46.023.","Koordinasi Manajemen Gudang Peralatan dan Logistik",1450000000,"Koordinasi Manajemen Gudang Peralatan dan Logistik 1.450.000.000,00"
"1.20.1.20.10.51.","PROGRAM PEMULIHAN PASCA BENCANA",3553600000,
"1.20.1.20.10.51.001.","Penyelenggaraan Rehabilitasi dan Rekonstruksi Sosial Pasca Bencana",199200000,"Penyelenggaraan Rehabilitasi dan Rekonstruksi Sosial Pasca Bencana 199.200.000,00"
"1.20.1.20.10.51.002.","Penyelenggaraan Rehabilitasi dan Rekonstruksi Lingkungan Pasca bencana",600000000,"Penyelenggaraan Rehabilitasi dan Rekonstruksi Lingkungan Pasca bencana 600.000.000,00"
"1.20.1.20.10.51.003.","Penyelenggaraan Rehabilitasi dan Rekonstruksi Ekonomi Pasca Bencana",283023000,"Penyelenggaraan Rehabilitasi dan Rekonstruksi Ekonomi Pasca Bencana 283.023.000,00"
"1.20.1.20.10.51.004.","Penyelenggaraan Rehabilitasi dan Rekonstruksi Infrastruktur Pasca Bencana",1427777000,"Penyelenggaraan Rehabilitasi dan Rekonstruksi Infrastruktur Pasca Bencana 1.427.777.000,00"
"1.20.1.20.10.51.005.","Penyelenggaraan Rehabilitasi dan Rekonstruksi Perumahan Pasca Bencana",1043600000,"Penyelenggaraan Rehabilitasi dan Rekonstruksi Perumahan Pasca Bencana 1.043.600.000,00"
,"JUMLAH BELANJA",19986346808,
