Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Tapem,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5,BELANJA,4962610000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,4962610000,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,121297500,
1.20 . 1.20.03 . 01 . 01,Penyediaan jasa surat menyurat,1000000,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Kelancaran tugas-tugas Administrasi Bagian Tata Pemerintahan
Target     :  100 %"
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1000000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1000000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",1000000,"Belanja materai dan benda pos lainnya
Materai 6000100 lbr x 6.000,00 = 600.000,00
Materai 300085 Lbr x 3.000,00 = 255.000,00
Perangko dan benda POS lainnya1 Ls x 145.000,00 = 145.000,00"
1.20 . 1.20.03 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,2000000,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Kelancaran tugas-tugas Administrasi Bagian Tata Pemerintahan
Target     :  100 %"
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,2000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,2000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,2000000,"Belanja pajak kendaraan bermotor
Roda 41 Ls x 800.000,00 = 800.000,00
Roda 24 Ls x 300.000,00 = 1.200.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,16800000,"Sumber Dana :
 Lokasi Kegiatan : Pelayanan tugas Administrasi Bagian Tata Pemerinta
Keluaran :  Kelancaran tugas-tugas Administrasi Bagian Tata Pemerintahan
Target     :  100 %"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,16800000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,16800000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,16800000,"Honor pengelola keuangan dan barang
Bendahara pengeluaran pembantu12 Bln x 301.250,00 = 3.615.000,00
Pembuat dokumen12 Bln x 230.000,00 = 2.760.000,00
Pencatat pembukuan24 bl/Org x 230.000,00 = 5.520.000,00
Pengurus Gaji12 Bln x 86.250,00 = 1.035.000,00
Pengurus barang12 Bln x 172.500,00 = 2.070.000,00
Penyimpan barang12 Bln x 150.000,00 = 1.800.000,00"
1.20 . 1.20.03 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,5000000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Tata Pemerintahan
Keluaran :  Kelancaran Tugas pada Bagian Tata Pemerintahan
Target     :  5 Komputer"
