Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.15.01,,,,,
Nama Organisasi,Dinas Koperasi dan Usaha Mikro Kecil Menengah,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.15 . 1.15.01 . 00.00 . 4 ,PENDAPATAN ,252000000.00,195200000.00,-56800000.00,-22.54,
1.15 . 1.15.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,252000000.00,195200000.00,-56800000.00,-22.54,
1.15 . 1.15.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,252000000.00,195200000.00,-56800000.00,-22.54,
1.15 . 1.15.01 . 00.00 . 4.1.4.15 ,Pendapatan Bunga Penguatan Modal ,252000000.00,195200000.00,-56800000.00,-22.54,
1.15 . 1.15.01 . 00.00 . 4.1.4.15.20 ,"Penguatan Modal 2009, bagi koperasi ",66000000.00,30000000.00,-36000000.00,-54.55,"Peraturan Daerah Kabupaten Kulon Progo Nomor 7 Tahun 2009 tentang Penyertaan Modal Pemerintah Daerah kepada Koperasi Kredit ""Pinunjul"" Koperasi KUB KUD Se Kulon Progo dan Koperasi Unit Desa ""Sedyo Rahayu"", Lembaran Daerah Kabupaten Kulon Progo Tahun 2009 Nomor 4 Seri E"
1.15 . 1.15.01 . 00.00 . 4.1.4.15.21 ,"Penguatan Modal 2010, bagi koperasi ",111000000.00,90000000.00,-21000000.00,-18.92,"Peraturan Daerah Kabupaten Kulon Progo Nomor 7 Tahun 2009 tentang Penyertaan Modal Pemerintah Daerah kepada Koperasi Kredit ""Pinunjul"" Koperasi KUB KUD Se Kulon Progo dan Koperasi Unit Desa ""Sedyo Rahayu"", Lembaran Daerah Kabupaten Kulon Progo Tahun 2009 Nomor 4 Seri E"
1.15 . 1.15.01 . 00.00 . 4.1.4.15.22 ,"Penguatan Modal 2011, bagi koperasi ",75000000.00,75000000.00,0.00,0.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 7 Tahun 2009 tentang Penyertaan Modal Pemerintah Daerah kepada Koperasi Kredit ""Pinunjul"" Koperasi KUB KUD Se Kulon Progo dan Koperasi Unit Desa ""Sedyo Rahayu"", Lembaran Daerah Kabupaten Kulon Progo Tahun 2009 Nomor 4 Seri E"
1.15 . 1.15.01 . 00.00 . 4.1.4.15.23 ,"Penerimaan Bunga Penguatan Modal Sektor Koperasi (2001, 2002) ",0.00,200000.00,200000.00,0.00,"Surat Keputusan Bupati Kulon Progo Nomor 12 Tahun 2001 tentang Petunjuk Pelaksanaan Anggaran Belanja Investasi, Surat Keputusan Bupati Kulon Progo Nomor 463 Tahun 2001 tentang Penunjukan Pengangkatan Pimpro, Pemegang Kas Proyek dan Atasan Langsung Pimpro DAU Tahun 2001, Surat Keputusan Bupati Kulon Progo Nomor III/JIPDA/KPPS/2001 tentang Pengesahan Proyek Yang Dibiayai dari APBD Belanja Investasi Kabupaten Kulon Progo Tahun 2001"
1.15 . 1.15.01 . 00.00 . 5 ,BELANJA ,2460623710.00,2359388605.00,-101235105.00,-4.11,
1.15 . 1.15.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,1904357480.00,1735541775.00,-168815705.00,-8.86,
1.15 . 1.15.01 . 00.00 ,Non Kegiatan ,1904357480.00,1735541775.00,-168815705.00,-8.86,Sumber Dana : 
1.15 . 1.15.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,1904357480.00,1735541775.00,-168815705.00,-8.86,
1.15 . 1.15.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,1904357480.00,1735541775.00,-168815705.00,-8.86,
1.15 . 1.15.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,1481697662.00,1326049771.00,-155647891.00,-10.50,
1.15 . 1.15.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,127848060.00,119561311.00,-8286749.00,-6.48,
1.15 . 1.15.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,148005000.00,137085000.00,-10920000.00,-7.38,
1.15 . 1.15.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,44430381.00,41094275.00,-3336106.00,-7.51,Tunjangan Fungsional Umum
1.15 . 1.15.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,68448981.00,74765349.00,6316368.00,9.23,Tunjangan Beras
1.15 . 1.15.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,33904606.00,36965415.00,3060809.00,9.03,
1.15 . 1.15.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,22790.00,20654.00,-2136.00,-9.37,
1.15 . 1.15.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,556266230.00,623846830.00,67580600.00,12.15,
1.15 . 1.15.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,122676532.00,137410382.00,14733850.00,12.01,
1.15 . 1.15.01 . 01.01 ,Penyediaan Jasa Surat Menyurat ,660000.00,660000.00,0.00,0.00,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo"
1.15 . 1.15.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,660000.00,660000.00,0.00,0.00,
1.15 . 1.15.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,660000.00,660000.00,0.00,0.00,
1.15 . 1.15.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya",660000.00,660000.00,0.00,0.00,
