Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.26,,
Organisasi,Kantor Pasar,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.26 . 00 . 00 . 4  , PENDAPATAN  ,2680130250,
1.20 . 1.20.26 . 00 . 00 . 4 . 1  , PENDAPATAN ASLI DAERAH  ,2680130250,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 2  , Hasil Retribusi Daerah  ,2380130250,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 2 . 01  , Retribusi Jasa Umum  ,2380130250,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 2 . 01 . 07  , Retribusi Pelayanan Persampahan/Kebersihan  ,214604992," Perda Kab. Bantul No. 09 Tahun 2011Sampah / kebersihan pasar1 Tahun x 214.604.992,00 = 214.604.992,00"
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 2 . 01 . 20  , Retribusi Pelayanan Pasar  ,2071735258," Perda Kab. Bantul No. 09 Tahun 2011Retribusi pelayanan pasar kios, los, dan arahan/plataran1 Tahun x 2.071.735.258,00 = 2.071.735.258,00"
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 2 . 01 . 47  , Retribusi Penyediaan dan/atau Penyedotan Kakus  ,93790000," Perda Kab. Bantul Nomor 9 Tahun 2011MCK pasar1 Tahun x 93.790.000,00 = 93.790.000,00"
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 4  , Lain-lain Pendapatan Asli Daerah yang Sah  ,300000000,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 4 . 17  , Hasil dari pengelolaan dana bergulir  ,200000000,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 4 . 17 . 01  , Hasil dari pengelolaan dana bergulir  ,200000000," Perda Kab. Bantul Nomor 7 Tahun 2012Penerimaan jasa/bunga dana bergulir pasar1 Tahun x 200.000.000,00 = 200.000.000,00"
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 4 . 18  , Lain-lain PAD yang Sah Lainnya  ,100000000,
1.20 . 1.20.26 . 00 . 00 . 4 . 1 . 4 . 18 . 05  , Pungutan dalam rangka penempatan kios baru  ,100000000,"Partisipasi pembangunan kios/los1 Tahun x 100.000.000,00 = 100.000.000,00"
1.20 . 1.20.26 . 00 . 00 . 5  , BELANJA  ,13637902400,
1.20 . 1.20.26 . 00 . 00 . 5 . 1  , BELANJA TIDAK LANGSUNG  ,5209001400,
1.20 . 1.20.26 . 00 . 00  , Non Kegiatan  ,5209001400, Sumber Dana : 
1.20 . 1.20.26 . 00 . 00 . 5 . 1 . 1  , Belanja Pegawai  ,5209001400,
1.20 . 1.20.26 . 00 . 00 . 5 . 1 . 1 . 01  , Belanja Gaji dan Tunjangan  ,5209001400,
1.20 . 1.20.26 . 00 . 00 . 5 . 1 . 1 . 01 . 01  , Gaji Pokok PNS/Uang Representasi  ,4138664500," Gaji Pokok1 th x 4.138.664.500,00 = 4.138.664.500,00"
1.20 . 1.20.26 . 00 . 00 . 5 . 1 . 1 . 01 . 02  , Tunjangan Keluarga  ,446383652," Tunjangan Keluarga1 th x 446.383.652,00 = 446.383.652,00"
