Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Protokol,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 07,Belanja Surat Tanda Nomor Kendaraan,1500000,"   Belanja Surat Tanda Nomor Kendaraan
Surat Tanda Nomor Kendaraan Bermotor1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,10340000,"Sumber Dana : 
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersediannya honor administrasi pengelola keuangan
Target     :  7 orang"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,9000000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,9000000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,9000000,"   Honor Pengelola Keuangan dan Barang
Honor Personalia Administrasi Kepegawaian12 ob x 75.000,00 = 900.000,00
Honor Pembantu Bendahara Pengurus Gaji12 ob x 75.000,00 = 900.000,00
Honor Pengurus Barang12 ob x 150.000,00 = 1.800.000,00
Honor Penyimpan Barang12 ob x 100.000,00 = 1.200.000,00
Honor Bendahara Pengeluaran Pembantu12 ob x 150.000,00 = 1.800.000,00
Honor Pembantu Bendahara (Pembuat dokumen/Neraca)12 ob x 100.000,00 = 1.200.000,00
Honor Pembantu Bendahara (Pembuat dokumen)12 ob x 100.000,00 = 1.200.000,00"
