Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulonprogo,,
Tahun,2015,,
Kode Organisasi,1.17.01,,
Nama Organisasi,Dinas Pariwisata Pemuda dan Olahraga,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.17 . 1.17.01 . 00 . 00 . 4 ,PENDAPATAN ,1751000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,1751000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 ,Hasil Retribusi Daerah ,1751000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 ,Retribusi Jasa Usaha ,1751000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 . 03 ,Retribusi Pemakaian Kekayaan Daerah - Ruangan ,50050000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C sebagaimana telah diubah dengan Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2014  Lembaran Daerah Kabupaten Kulon Progo Tahun 2014 Nomor 8  TLD Nomor 18"
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 . 04 ,Retribusi Pemakaian Kekayaan Daerah - Kendaraan Bermotor ,6500000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C sebagaimana telah diubah dengan Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2014  Lembaran Daerah Kabupaten Kulon Progo Tahun 2014 Nomor 8  TLD Nomor 18"
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 . 16 ,Retribusi Tempat Khusus Parkir ,8300000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 3 Tahun 2011 tentang Retribusi Tempat Khusus Parkir  Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 2 Seri C"
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 . 21 ,Retribusi Tempat Rekreasi dan Olahraga ,1686150000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 8 Tahun 2013 tentang Perubahan Atas Peraturan Daerah Kabupaten Kulon Progo Nomor 1 Tahun 2010 tentang Retribusi Tempat Rekreasi dan Olah Raga  Lembaran Daerah Kabupaten Kulon Progo Tahun 2013 Nomor 8"
1.17 . 1.17.01 . 00 . 00 . 5 ,BELANJA ,5724051309.5,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,2961385484.5,
1.17 . 1.17.01 . 00 . 00 ,Non Kegiatan ,2961385484.5,Sumber Dana : 
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,2961385484.5,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,2926859672,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,2231796486,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,220134490,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,202865000,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,82134000,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,131193447,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,58701374,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,34875,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 06 ,Insentif Pemungutan Retribusi Daerah ,34525812.5,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 06 . 16 ,Insentif Pemungutan Retribusi Daerah - Pemakaian Kekayaan Daerah ,2827500,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 06 . 20 ,Insentif Pemungutan Retribusi Daerah - Tempat Khusus Parkir ,83000,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 06 . 24 ,Insentif Pemungutan Retribusi Daerah - Tempat Rekreasi dan Olah raga ,31615312.5,
1.17 . 1.17.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,2762665825,
1.17 . 1.17.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,84619350,
1.17 . 1.17.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,21794350,Sumber Dana :  Lokasi Kegiatan : Kulon Progo
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,21794350,
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,9442150,
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,8542150,
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko  Materai Dan Benda Pos Lainnya ",900000,
1.17 . 1.17.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1280000,
