Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.17.01,,
Organisasi,Dinas Kebudayaan dan Pariwisata,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.17 . 1.17.01 . 00 . 00 . 4 ,PENDAPATAN ,11050000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,11050000000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 ,Hasil Retribusi Daerah ,11046850000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 ,Retribusi Jasa Usaha ,11046850000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 2 . 02 . 21 ,Retribusi Tempat Rekreasi dan Olahraga ,11046850000,"Perda Kab. Bantul Nomor 8 Tahun 2015
Obyek  Wisata Pantai Parangtritis2,538,000 orang x 3.750,00 = 9.517.500.000,00
Obyek Wisata Pantai Samas121,000 orang x 2.750,00 = 332.750.000,00
Obyek Wisata Pantai Goa Cemara110,400 orang x 2.750,00 = 303.600.000,00
Obyek Wisata Pantai Pandansimo160,000 orang x 2.750,00 = 440.000.000,00
Obyek Wisata Pantai Kwaru60,000 orang x 2.750,00 = 165.000.000,00
Obyek Wisata Goa Selarong45,000 orang x 2.750,00 = 123.750.000,00
Obyek Wisata Goa Cerme15,000 orang x 2.750,00 = 41.250.000,00
Kolam Renang Tirta Tamansari1 Tahun x 123.000.000,00 = 123.000.000,00"
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,3150000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 4 . 18 ,Lain-lain PAD yang Sah Lainnya ,3150000,
1.17 . 1.17.01 . 00 . 00 . 4 . 1 . 4 . 18 . 04 ,Pendapatan dari Sewa Gedung ,3150000,"Sewa Gedung1 tahun x 3.150.000,00 = 3.150.000,00"
1.17 . 1.17.01 . 00 . 00 . 5 ,BELANJA ,17712849700,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,5249685100,
1.17 . 1.17.01 . 00 . 00 ,Non Kegiatan ,5249685100,Sumber Dana : 
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,5249685100,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,5249685100,
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,4183290000,"Gaji Pokok1 th x 4.183.290.000,00 = 4.183.290.000,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,382705512,"Tunjangan Keluarga1 th x 382.705.512,00 = 382.705.512,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,158293800,"Tunjangan Jabatan1 th x 158.293.800,00 = 158.293.800,00"
1.17 . 1.17.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,0,"Tunjangan Fungsional1 th x 0,00 = 0,00"
