Judul,Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.14.01,,
Nama Organisasi,Dinas Sosial Tenaga Kerja dan Transmigrasi,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.14 . 1.14.01 . 00 . 00 . 5,BELANJA,19551048145.00,
1.14 . 1.14.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,5403273395.00,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,5403273395.00,
1.14 . 1.14.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,14147774750.00,
1.14 . 1.14.01 . 01,Program Pelayanan Administrasi Perkantoran,170515000.00,
1.14 . 1.14.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,81172200.00,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,81172200.00,
1.14 . 1.14.01 . 01 . 27,Penyediaan Jasa  keuangan,25447800.00,
1.14 . 1.14.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,25380000.00,
1.14 . 1.14.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,67800.00,
1.14 . 1.14.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",63895000.00,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,63895000.00,
1.14 . 1.14.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,497530000.00,
1.14 . 1.14.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,138375000.00,
1.14 . 1.14.01 . 11 . 01 . 5 . 2 . 1,Belanja Pegawai,2800000.00,
1.14 . 1.14.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,135575000.00,
1.14 . 1.14.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,359155000.00,
1.14 . 1.14.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,359155000.00,
1.14 . 1.14.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",41000000.00,
1.14 . 1.14.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,10000000.00,
1.14 . 1.14.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,1872000.00,
1.14 . 1.14.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,8128000.00,
1.14 . 1.14.01 . 12 . 02,Penyusunan Laporan Keuangan,15000000.00,
1.14 . 1.14.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,5250000.00,
1.14 . 1.14.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,9750000.00,
1.14 . 1.14.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",16000000.00,
1.14 . 1.14.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,2080000.00,
1.14 . 1.14.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,13920000.00,
1.14 . 1.14.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,22500000.00,
1.14 . 1.14.01 . 13 . 01,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit,15000000.00,
1.14 . 1.14.01 . 13 . 01 . 5 . 2 . 1,Belanja Pegawai,10248000.00,
1.14 . 1.14.01 . 13 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,4752000.00,
1.14 . 1.14.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,7500000.00,
1.14 . 1.14.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,7500000.00,
2.08 . 1.14.01 . 15,Program Pengembangan Wilayah Transmigrasi,223321600.00,
2.08 . 1.14.01 . 15 . 07,Penyediaan transmigran,76294000.00,
2.08 . 1.14.01 . 15 . 07 . 5 . 2 . 1,Belanja Pegawai,30260000.00,
2.08 . 1.14.01 . 15 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,46034000.00,
2.08 . 1.14.01 . 15 . 08,Penempatan dan perlindungan transmigran,109381600.00,
