Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.01.02,,
Organisasi,Dinas Pendidikan Menengah dan Formal,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.01 . 1.01.02 . 00 . 00 . 5,BELANJA,305619031300,
1.01 . 1.01.02 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,258556476800,
1.01 . 1.01.02 . 00 . 00,Non Kegiatan,258556476800,Sumber Dana : 
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,258556476800,
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01,Belanja Gaji dan Tunjangan,162148276800,
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 01,Gaji Pokok PNS/Uang Representasi,129694797320,"   Gaji Pokok1 th x 129.694.797.320,00 = 129.694.797.320,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 02,Tunjangan Keluarga,11617217818,"   Tunjangan Keluarga1 th x 11.617.217.818,00 = 11.617.217.818,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 03,Tunjangan Jabatan,333366600,"   Tunjangan Jabatan1 th x 333.366.600,00 = 333.366.600,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,11267277100,"   Tunjangan Fungsional1 th x 11.267.277.100,00 = 11.267.277.100,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,747772200,"   Tunjganan Fungsional Umum1 th x 747.772.200,00 = 747.772.200,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 06,Tunjangan Beras,6168897830,"   Tunjangan Beras1 th x 6.168.897.830,00 = 6.168.897.830,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 07,Tunjangan PPh/Tunjangan Khusus,2317277537,"   Tunjjangan PPh/Tunjangan Khusus1 th x 2.317.277.537,00 = 2.317.277.537,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 01 . 08,Pembulatan Gaji,1670395,"   Pembulatan Gaji1 th x 1.670.395,00 = 1.670.395,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 02,Belanja Tambahan Penghasilan PNS,96408200000,
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 02 . 05,Tambahan Penghasilan Berdasarkan Prestasi Kerja,480000000,"   Tambahan Penghasilan Berdasarkan Prestasi Kerja2,400 orang/bulan x 200.000,00 = 480.000.000,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 02 . 06,Tunjangan Profesi Guru PNSD,95694037000,"   Tunjangan Profesi Guru PNSD1 th x 95.694.037.000,00 = 95.694.037.000,00"
1.01 . 1.01.02 . 00 . 00 . 5 . 1 . 1 . 02 . 07,Tambahan Penghasilan Guru PNSD,234163000,"   Tambahan Penghasilan Guru PNSD1 th x 234.163.000,00 = 234.163.000,00"
1.01 . 1.01.02 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,47062554500,
1.01 . 1.01.02 . 01,Program Pelayanan Administrasi Perkantoran,346198000,
