Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.02.01,,
Nama Dinas,Dinas Kesehatan,,
Kolom,4,,
,,,
No. Rekening,Uraian,Jumlah,Keterangan
1.02 . 1.02.01 . 00 . 00 . 4,PENDAPATAN,28510637450.00,
1.02 . 1.02.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,28510637450.00,
1.02 . 1.02.01 . 00 . 00 . 4 . 1 . 2,Hasil Retribusi Daerah,72554000.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 4 Tahun 2012 tentang Retribusi Pelayanan Kesehatan pada UPT Dinas Kesehatan Kabupaten Kulon Progo, Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 4"
1.02 . 1.02.01 . 00 . 00 . 4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,28438083450.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 5 Tahun 2015 tentang Lain-Lain Pendapatan Asli Daerah Yang Sah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2015 Nomor 5"
1.02 . 1.02.01 . 00 . 00 . 5,BELANJA,108841141376.00,
1.02 . 1.02.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,44667910898.00,
1.02 . 1.02.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,44667910898.00,
1.02 . 1.02.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,64173230478.00,
1.02 . 1.02.01 . 01,Program Pelayanan Administrasi Perkantoran,482597950.00,
1.02 . 1.02.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,273878450.00,
1.02 . 1.02.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,273878450.00,
1.02 . 1.02.01 . 01 . 27,Penyediaan Jasa  keuangan,161476500.00,
1.02 . 1.02.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,161280000.00,
1.02 . 1.02.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,196500.00,
1.02 . 1.02.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",47243000.00,
1.02 . 1.02.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,47243000.00,
1.02 . 1.02.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,535596580.00,
1.02 . 1.02.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,134639800.00,
1.02 . 1.02.01 . 11 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7599800.00,
1.02 . 1.02.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,127040000.00,
1.02 . 1.02.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,400956780.00,
1.02 . 1.02.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,400956780.00,
1.02 . 1.02.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",98103000.00,
1.02 . 1.02.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,8134000.00,
1.02 . 1.02.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,1080000.00,
1.02 . 1.02.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7054000.00,
1.02 . 1.02.01 . 12 . 02,Penyusunan Laporan Keuangan,12530000.00,
1.02 . 1.02.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,2986000.00,
1.02 . 1.02.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,9544000.00,
1.02 . 1.02.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",77439000.00,
1.02 . 1.02.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,5200000.00,
1.02 . 1.02.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,72239000.00,
1.02 . 1.02.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,42876150.00,
1.02 . 1.02.01 . 13 . 01,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit,30876150.00,
