Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,
Daerah,Kabupaten Gunungkidul,,,,
Tahun,2016,,,,
Kode Organisasi,1.06,,,,
nama org,Badan Perencanaan Pembangunan Daerah,,,,
Kolom,4,,,,
No. Rekening,Uraian,Jumlah,,,
1.06.1.06.01.00.00.4. ,PENDAPATAN,,,,
1.06.1.06.01.00.00.8. ,JUMLAH PENDAPATAN,,,,
1.06.1.06.01.00.00.5. ,BELANJA DAERAH ,7284020565.85,,,
1.06.1.06.01.00.00.9. ,BEBAN ,7284020565.85,,,
1.06.1.06.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,2978961865.85,,,
1.06.1.06.01.00.00.5.1.1. ,BELANJA PEGAWAI ,2978961865.85,,,
1.06.1.06.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,2978961865.85,,,
1.06.1.06.01.00.00.5.1.1.01.001. ,Gaji Pokok/Uang Representasi ,2282593446, Gol IV 720998082.00 Gol III 1256443700.40 Gol II 250765351.20 Gol I 54386312.40,,
1.06.1.06.01.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,, Tunjangan isteri/suami/anak ,221.921.953^85,
1.06.1.06.01.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,212870000, Tunjangan struktural 212870000.00,,
1.06.1.06.01.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,74340000, Gol III 51800000.00 Gol II 17640000.00 Gol I 4900000.00,,
1.06.1.06.01.00.00.5.1.1.01.006. ,Tunjangan Beras ,133687320, Tunjangan beras 133687320.00,,
1.06.1.06.01.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,53515378, Gol IV 23442860.00 Gol III 27200362.00 Gol II 2867144.00 Gol I 5012.00,,
1.06.1.06.01.00.00.5.1.1.01.008. ,Pembulatan Gaji ,33768, Gol IV 8512.00 Gol III 17808.00 Gol II 6342.00 Gol I 1106.00,,
1.06.1.06.01.00.00.5.2. ,BELANJA LANGSUNG ,4305058700,,,
1.06.1.06.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,514936000, PERKANTORAN,,
1.06.1.06.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,750000,Lokasi Kegiatan: DKI Jakarta. Jawa Tengah Sumber Dana: PAD.  DAU.,,
1.06.1.06.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,750000,,,
1.06.1.06.01.01.01.5.2.2.03. ,Belanja Jasa Kantor ,750000,,,
1.06.1.06.01.01.01.5.2.2.03.007. ,Belanja paket/pengiriman ,750000, Biaya pengiriman surat (6 surat) 750000.00,,
1.06.1.06.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,102600000,Lokasi Kegiatan: BAPPEDA AIR DAN LISTRIK,, Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.06.1.06.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,102600000,,,
1.06.1.06.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,102600000,,,
1.06.1.06.01.01.02.5.2.2.03.001. ,Belanja telephon/kawat/faximile/internet ,51600000, Telepon (2 line) 9600000.00 Internet 42000000.00,,
1.06.1.06.01.01.02.5.2.2.03.002. ,Belanja air ,3000000, Belanja air 3000000.00,,
1.06.1.06.01.01.02.5.2.2.03.003. ,Belanja listrik ,48000000, Listrik (3 rekening) 48000000.00,,
1.06.1.06.01.01.04. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,8450000,Lokasi Kegiatan: BAPPEDA PERIZINAN KENDARAAN DINAS/OPERASIONAL,, Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.06.1.06.01.01.04.5.2.2. ,BELANJA BARANG DAN JASA ,8450000,,,
1.06.1.06.01.01.04.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,8450000,,,
1.06.1.06.01.01.04.5.2.2.05.005. ,Belanja Surat Tanda Nomor Kendaraan ,8450000, Roda 4 (AB 89D) 650000.00 Roda 4 (AB1079CD) 450000.00 Roda 4 (AB1593BD) 1200000.00 Roda 4 (AB19D) 750000.00 Roda 2 5400000.00,,
1.06.1.06.01.01.06. ,PENYEDIAAN JASA KEBERSIHAN KANTOR ,74780000,Lokasi Kegiatan: BAPPEDA Sumber Dana: PAD.  DAU.,,
1.06.1.06.01.01.06.5.2.1. ,BELANJA PEGAWAI ,600000,,,
1.06.1.06.01.01.06.5.2.1.01. ,Honorarium PNS ,600000,,,
1.06.1.06.01.01.06.5.2.1.01.002. ,Honorarium Panitia Pengadaan Barang dan Jasa ,600000, Pejabat pengadaan 300000.00 Pejabat penerima 300000.00,,
1.06.1.06.01.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,74180000,,,
1.06.1.06.01.01.06.5.2.2.01. ,Belanja Bahan Pakai Habis ,180000,,,
1.06.1.06.01.01.06.5.2.2.01.005. ,Belanja peralatan kebersihan dan bahan pembersih ,180000, pembayaran retribusi sampah 180000.00,,
1.06.1.06.01.01.06.5.2.2.03. ,Belanja Jasa Kantor ,74000000,,,
1.06.1.06.01.01.06.5.2.2.03.017. ,Belanja Jasa Kebersihan ,74000000, Belanja jasa cleaning service 74000000.00,,
1.06.1.06.01.01.07. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,11900000,Lokasi Kegiatan: BAPPEDA Sumber Dana: PAD.  DAU.,,
1.06.1.06.01.01.07.5.2.2. ,BELANJA BARANG DAN JASA ,11900000,,,
1.06.1.06.01.01.07.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,11900000, kantor,,
1.06.1.06.01.01.07.5.2.2.18.001. ,Belanja pemeliharaan perlatan kantor ,11900000,  komputer6300000.00 Notebook2600000.00 Mesin ketik1500000.00 Printer1500000.00,,
1.06.1.06.01.01.08. ,PENYEDIAAN ALAT TULIS KANTOR ,14985000,Lokasi Kegiatan: BAPPEDA Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.,,
1.06.1.06.01.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,14985000,,,
1.06.1.06.01.01.08.5.2.2.01. ,Belanja Bahan Pakai Habis ,14985000,,,
1.06.1.06.01.01.08.5.2.2.01.001. ,Belanja alat tulis kantor ,14985000, Kertas HVS 70gr Folio 2250000.00 Kertas HVS 70gr Kuarto 165000.00 Ordner 4250000.00 Amplop besar 480000.00 Kertas fax 750000.00 Pensil 180000.00 Ballpoint 270000.00 Buku tulis 175000.00 Kertas folio bergaris 130000.00 Toner printer 2250000.00 Refil toner 1250000.00 Stopmap 480000.00 Trigonal 1350000.00 Isi stapler 375000.00 Spidol boardmaker 165000.00 Isi pentel 240000.00 CD 225000.00,,
1.06.1.06.01.01.09. ,PENYEDIAAN BARANG CETAKAN DAN ,12425000,Lokasi Kegiatan: BAPPEDA PENGGANDAAN,, Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.06.1.06.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,12425000,,,
1.06.1.06.01.01.09.5.2.2.06. ,Belanja Cetak dan Penggandaan ,12425000,,,
1.06.1.06.01.01.09.5.2.2.06.001. ,Belanja Cetak ,5425000, Blangko SPPD 225000.00 Kop Garuda 600000.00 Kop Bappeda 600000.00 Lembar disposisi 1350000.00 Stopmap Bappeda 1250000.00 Amplop 1250000.00 Kartu kendali 150000.00,,
1.06.1.06.01.01.09.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,7000000, Fotocopy 6000000.00 Jilid 1000000.00,,
1.06.1.06.01.01.10. ,PENYEDIAAN KOMPONEN INSTALASI ,3480000,Lokasi Kegiatan: BAPPEDA LISTRIK/PENERANGAN BANGUNAN KANTOR,, Sumber Dana: PAD.  DAU.
1.06.1.06.01.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,3480000,,,
1.06.1.06.01.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,3480000,,,
1.06.1.06.01.01.10.5.2.2.01.003. ,Belanja alat listrik dan elektronika (lampu pijar^ batery ,3480000, keri,, Lampu LED 495000.00 Kap lampu 680000.00 Baterai recharge 300000.00 Baterai isi ulang 1560000.00 Rol kabel 30m 250000.00 Rol kabel portabel 195000.00
1.06.1.06.01.01.11. ,PENYEDIAAN PERALATAN DAN PERLENGKAPAN ,81500000,Lokasi Kegiatan: BAPPEDA KANTOR,, Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov.
1.06.1.06.01.01.11.5.2.3. ,BELANJA  MODAL ,81500000,,,
1.06.1.06.01.01.11.5.2.3.12. ,Belanja Modal Pengadaan Komputer ,75000000,,,
1.06.1.06.01.01.11.5.2.3.12.002. ,Belanja modal pengadaan komputer /PC ,40000000, Komputer desktop/PC non multimedia 40000000.00,,
