Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.21.01,,
Nama Organisasi,Kantor Ketahanan Pangan,,
Kolom,4,,
,,,
No. Rekening,Uraian,Jumlah,Keterangan
1.21 . 1.21.01 . 00 . 00 . 5,BELANJA,8771484515.00,
1.21 . 1.21.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,7412443401.00,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,7412443401.00,
1.21 . 1.21.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,1359041114.00,
1.21 . 1.21.01 . 01,Program Pelayanan Administrasi Perkantoran,306400000.00,
1.21 . 1.21.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,199200000.00,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,199200000.00,
1.21 . 1.21.01 . 01 . 27,Penyediaan Jasa  keuangan,22200000.00,
1.21 . 1.21.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,21900000.00,
1.21 . 1.21.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,300000.00,
1.21 . 1.21.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",85000000.00,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,85000000.00,
1.21 . 1.21.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,530512539.00,
1.21 . 1.21.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,89327200.00,
1.21 . 1.21.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,89327200.00,
1.21 . 1.21.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,441185339.00,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,143460000.00,
1.21 . 1.21.01 . 11 . 02 . 5 . 2 . 3,Belanja Modal,297725339.00,
1.21 . 1.21.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",39999850.00,
1.21 . 1.21.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,3499875.00,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,292000.00,
1.21 . 1.21.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3207875.00,
1.21 . 1.21.01 . 12 . 02,Penyusunan Laporan Keuangan,3000000.00,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,548000.00,
1.21 . 1.21.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,2452000.00,
1.21 . 1.21.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",11500000.00,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,648000.00,
1.21 . 1.21.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,10852000.00,
1.21 . 1.21.01 . 12 . 04,Pengumpulan dan Penyusunan Data Statistik Ketahanan Pangan,21999975.00,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 1,Belanja Pegawai,1040000.00,
1.21 . 1.21.01 . 12 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,20959975.00,
1.21 . 1.21.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,7999900.00,
1.21 . 1.21.01 . 13 . 01,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit,4999900.00,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 1,Belanja Pegawai,3250000.00,
1.21 . 1.21.01 . 13 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1749900.00,
1.21 . 1.21.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,3000000.00,
1.21 . 1.21.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000.00,
1.21 . 1.21.01 . 25,Program Peningkatan Ketahanan Pangan,153528000.00,
