Judul,"Rincian Apbd Menurut Urusan Pemerintahan Daerah, Organisasi, Pendapatan, Belanja Dan Pembiayaan",,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,1.10.01,,
Nama Organisasi,Dinas Kependudukan,,
Kolom,4,,
,,,
No. Rekening,Uraian,Jumlah,Keterangan
1.10 . 1.10.01 . 00 . 00 . 5,BELANJA,4964899204.00,
1.10 . 1.10.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,3041018804.00,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,3041018804.00,
1.10 . 1.10.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,1923880400.00,
1.10 . 1.10.01 . 01,Program Pelayanan Administrasi Perkantoran,167571150.00,
1.10 . 1.10.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,113526650.00,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,113526650.00,
1.10 . 1.10.01 . 01 . 27,Penyediaan Jasa  keuangan,24250500.00,
1.10 . 1.10.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,24180000.00,
1.10 . 1.10.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,70500.00,
1.10 . 1.10.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",29794000.00,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,29794000.00,
1.10 . 1.10.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,772354550.00,
1.10 . 1.10.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,278646200.00,
1.10 . 1.10.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,278646200.00,
1.10 . 1.10.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,493708350.00,
1.10 . 1.10.01 . 11 . 02 . 5 . 2 . 1,Belanja Pegawai,1075000.00,
1.10 . 1.10.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,492633350.00,
1.10 . 1.10.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",24250000.00,
1.10 . 1.10.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,4000000.00,
1.10 . 1.10.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,728000.00,
1.10 . 1.10.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3272000.00,
1.10 . 1.10.01 . 12 . 02,Penyusunan Laporan Keuangan,7500000.00,
1.10 . 1.10.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,1264000.00,
1.10 . 1.10.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,6236000.00,
1.10 . 1.10.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",12750000.00,
1.10 . 1.10.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,2288000.00,
1.10 . 1.10.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,10462000.00,
1.10 . 1.10.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,5250000.00,
1.10 . 1.10.01 . 13 . 03,Pendidikan dan Pelatihan Non Formal,5250000.00,
1.10 . 1.10.01 . 13 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,5250000.00,
1.10 . 1.10.01 . 15,Program Penataan Administrasi Kependudukan,954454700.00,
1.10 . 1.10.01 . 15 . 03,"Implementasi Sistem Administrasi Kependudukan (Membangun, Updating dan Pemeliharaan)",183889400.00,
1.10 . 1.10.01 . 15 . 03 . 5 . 2 . 1,Belanja Pegawai,47594000.00,
1.10 . 1.10.01 . 15 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,136295400.00,
1.10 . 1.10.01 . 15 . 13,"Monitoring, Evaluasi dan Pelaporan Kependudukan",60582000.00,
1.10 . 1.10.01 . 15 . 13 . 5 . 2 . 1,Belanja Pegawai,12500000.00,
1.10 . 1.10.01 . 15 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,48082000.00,
1.10 . 1.10.01 . 15 . 15,Pengelolaan sarana dan prasarana SIAK,362247400.00,
