Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
Daerah,Kabupaten Gunungkidul,,,
tahun ,2014,,,
Kode Organisasi,2.01,,,
Nama Organisasi,Dinas Tanaman Pangan dan Holtikultural,,,
Kolom,4,,,
Kode Rekening,URAIAN,jumlah,Penjelasan,
2.01.2.01.01.00.00.4. ,PENDAPATAN ,63000000,,
2.01.2.01.01.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,63000000,,
2.01.2.01.01.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,63000000,,
2.01.2.01.01.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,63000000,,
2.01.2.01.01.00.00.4.1.2.02.13. ,Retribusi Penjualan Produksi Usaha Daerah ,63000000,Retribusi Penjualan Produksi Usaha Daerah 63000000.00  Penjualan hasil usaha UPT Perbenihan 63000000.00 Berdasarkan Perda No 17 Tahun 2011 LD Tahun 2011 No 8 Seri C. tentang  Retribusi Penjualan Produksi Usaha Daerah JUMLAH PENDAPATAN ,
2.01.2.01.01.00.00.5. ,BELANJA DAERAH ,11705824147.89,,
2.01.2.01.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,2914169897.89,,
2.01.2.01.01.00.00.5.1.1. ,BELANJA PEGAWAI ,2914169897.89,,
2.01.2.01.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,2914169897.89,,
2.01.2.01.01.00.00.5.1.1.01.01. ,Gaji Pokok ,2247256634.11,Gaji Pokok 2247256634.11  Gaji Pokok 2247256634.11 Golongan I = 4 orang 92895627.65 Golongan II = 12 orang 361506060.83 Golongan III = 36 orang 1421812036.87 Golongan IV = 8 orang 371042908.76,
2.01.2.01.01.00.00.5.1.1.01.02. ,Tunjangan Keluarga ,255463247.78,Tunjangan Keluarga 255463247.78  Tunjangan keluarga 255463247.78 Tunjangan Istri/suami = 51 orang 199806539.72 Tunjangan anak = 71 orang 55656708.06,
2.01.2.01.01.00.00.5.1.1.01.03. ,Tunjangan Jabatan ,177255000,Tunjangan Jabatan 177255000.00  Tunjangan Struktural 177255000.00 Eselon IIb = 1 orang 26325000.00 Eselon IIIa = 1 orang 16380000.00 Eselon IIIb = 4 orang 50960000.00 Eselon IVa = 11 orang 77220000.00 Eselon IVb = 1 orang 6370000.00,
2.01.2.01.01.00.00.5.1.1.01.05. ,Tunjangan Fungsional Umum ,41805000,Tunjangan Fungsional Umum 41805000.00  Tunjangan umum 41805000.00 Golongan I = 4 orang 9100000.00 Golongan II = 12 orang 28080000.00 Golongan III = 25 orang 4625000.00,
2.01.2.01.01.00.00.5.1.1.01.06. ,Tunjangan Beras ,148297500,Tunjangan Beras 148297500.00  Tunjangan Beras 148297500.00,
2.01.2.01.01.00.00.5.1.1.01.07. ,Tunjangan PPh/Tunjangan Khusus ,44054803,Tunjangan PPh/Tunjangan Khusus 44054803.00  Tunjangan Khusus/PPH 44054803.00,
2.01.2.01.01.00.00.5.1.1.01.08. ,Pembulatan Gaji ,37713,Pembulatan Gaji 37713.00  Pembulatan Gaji 37713.00,
2.01.2.01.01.00.00.5.2. ,BELANJA LANGSUNG ,8791654250,,
2.01.2.01.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,343920000, PERKANTORAN,
2.01.2.01.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,1500000,,
2.01.2.01.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,1500000,,
2.01.2.01.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,1500000,,
2.01.2.01.01.01.01.5.2.2.01.04. ,Belanja perangko^ meterai^ dan benda pos lainnya ,1500000,Belanja perangko. meterai. dan benda pos lainnya 1500000.00  Pembelian Meterai Rp 3000 375000.00 Pembelian Meterai Rp 6000 750000.00 Jasa Pos lainnya 375000.00,
2.01.2.01.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER ,39200000, DAYA AIR DAN LISTRIK,
2.01.2.01.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,39200000,,
2.01.2.01.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,39200000,,
2.01.2.01.01.01.02.5.2.2.03.01. ,Belanja telephon ,7200000,Belanja telephon 7200000.00  Belanja Telepon 7200000.00,
2.01.2.01.01.01.02.5.2.2.03.02. ,Belanja air ,8000000,Belanja air 8000000.00  Belanja Air Gedung Dinas 6000000.00 Belanja Air Kebun Dinas 2000000.00,
2.01.2.01.01.01.02.5.2.2.03.03. ,Belanja listrik ,18000000,Belanja listrik 18000000.00  Belanja listrik gedung dinas 12000000.00 Belanja listrik kebun dinas 6000000.00,
2.01.2.01.01.01.02.5.2.2.03.06. ,Belanja kawat/faksimili/internet ,6000000,Belanja kawat/faksimili/internet 6000000.00  Biaya langganan internet 6000000.00,
2.01.2.01.01.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,16750000, PERIZINAN KENDARAAN  DINAS/OPERASIONAL,
2.01.2.01.01.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,16750000,,
2.01.2.01.01.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,16750000,,
2.01.2.01.01.01.06.5.2.2.05.05. ,Belanja Surat Tanda Nomor Kendaraan ,16750000,Belanja Surat Tanda Nomor Kendaraan 16750000.00  Biaya pengurusan surat-surat kendaraan roda dua 11500000.00 Biaya pengurusan surat-surat kendaraan roda empat bensin 3000000.00 Biaya pengurusan surat-surat kendaraan roda empat solar 2000000.00 Biaya pengurusan surat-surat kendaraan bermotor roda 3 250000.00,
2.01.2.01.01.01.07. ,PENYEDIAAN JASA ADMINISTRASI ,22200000, KEUANGAN,
2.01.2.01.01.01.07.5.2.1. ,BELANJA PEGAWAI ,22200000,,
2.01.2.01.01.01.07.5.2.1.01. ,Honorarium PNS ,22200000,,
2.01.2.01.01.01.07.5.2.1.01.03. ,Honorarium Bendahara^ Pembantu Bendaraha ,22200000,Honorarium Bendahara. Pembantu Bendaraha 22200000.00  Honorarium Bendahara Penerima 1500000.00 Honorarium Bendahara Pengeluaran 3000000.00 Honorarium Pengurus Barang 2400000.00 Honorarium Pembantu Pengurus Barang 1800000.00 Honorarium PPK SKPD 3300000.00 Honorarium Pembantu PPK 5400000.00 Honorarium Pembantu Bendahara Pengeluaran 4800000.00,
2.01.2.01.01.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN ,13250000, KERJA,
2.01.2.01.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,13250000,,
2.01.2.01.01.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,13250000, kantor,
2.01.2.01.01.01.09.5.2.2.18.01. ,Belanja pemeliharaan perlatan kantor ,13250000,Belanja pemeliharaan perlatan kantor 13250000.00  Pemeliharaan komputer 6000000.00 Sekretariat 3000000.00 Bidang Sarana Prasarana 600000.00 Bidang Bina Produksi 600000.00 Bidang Bina Usaha Tani 600000.00 Bidang Perlindungan 600000.00 UPT Perbenihan 600000.00 Pemeliharaan mesin ketik 300000.00 Pemeliharaan Printer 3800000.00 Sekretariat 2000000.00 Bidang Sarana Prasarana 400000.00 Bidang Bina Produksi 400000.00 Bidang Bina Usaha 400000.00 Bidang Perlindungan 400000.00 UPT Perbenihan 200000.00 Pemeliharaan AC 3150000.00,
2.01.2.01.01.01.10. ,PENYEDIAAN ALAT TULIS KANTOR ,7000000,,
2.01.2.01.01.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,7000000,,
2.01.2.01.01.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,7000000,,
2.01.2.01.01.01.10.5.2.2.01.01. ,Belanja alat tulis kantor ,7000000,Belanja alat tulis kantor 7000000.00  Pembelian Alat Tulis Kantor 7000000.00,
2.01.2.01.01.01.11. ,PENYEDIAAN BARANG CETAKAN DAN ,34635000, PENGGANDAAN,
2.01.2.01.01.01.11.5.2.2. ,BELANJA BARANG DAN JASA ,34635000,,
2.01.2.01.01.01.11.5.2.2.06. ,Belanja Cetak dan Penggandaan ,34635000,,
2.01.2.01.01.01.11.5.2.2.06.01. ,Belanja Cetak ,27135000,Belanja Cetak 27135000.00  Cetak Blangko SPPD 5400000.00 Cetak Blangko SPJ 2160000.00 Cetak Kop Garuda Emas 200000.00 Cetak Blangko Disposisi 875000.00 Cetak Kartu Kendali Masuk 450000.00 Cetak Kartu Kendali Keluar 450000.00 Cetak Blangko Pengeluaran Barang Persediaan 350000.00 Cetak Amplop Kop Dinas 1750000.00 Cetak Kalender Pertanian Tahun 2015 2500000.00 Cetak Buku Agenda Pertanian Tahun 2015 5000000.00 Cetak Buku Profil Pertanian 5000000.00 Cetak Map Dinas 3000000.00,
2.01.2.01.01.01.11.5.2.2.06.02. ,Belanja Penggandaan/Foto copy ,7500000,Belanja Penggandaan/Foto copy 7500000.00  Fotokopi 7500000.00,
2.01.2.01.01.01.12. ,PENYEDIAAN KOMPONEN INSTALASI ,2500000, LISTRIK/PENERANGAN BANGUNAN KANTOR,
2.01.2.01.01.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,2500000,,
2.01.2.01.01.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,2500000,,
2.01.2.01.01.01.12.5.2.2.01.03. ,Belanja alat listrik dan elektronika (lampu pijar^ ,2500000,Belanja alat listrik dan elektronika (lampu pijar. batery keri 2500000.00  batery keri  Pembelian alat-alat kelistrikan 2500000.00 ,
2.01.2.01.01.01.13. ,PENYEDIAAN PERALATAN DAN ,78900000, PERLENGKAPAN KANTOR,
