Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Organisasi,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 07,Belanja Surat Tanda Nomor Kendaraan,1500000,"   Pajak Kendaraan Dinas
Kendaraan Roda 2 (dua) 3 unit,  Roda 4 (empat) 1 unit1 ls x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,8540000,"Sumber Dana :
 Lokasi Kegiatan : Bagian Organisasi Setda
Keluaran :  Terlaksananya Kegiatan Adm. Keuangan
Target     :  12 bulan"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,7140000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,7140000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,7140000,"   Tunj.  Bend  Pengeluaran Pembantu, Pembuat Dokumen, 
Pengurus Gaji dan lainya.Pengurus Gaji Pembantu12 bulan x 75.000,00 = 900.000,00
Pengurus Barang  Pembantu12 bulan x 150.000,00 = 1.800.000,00
Bend  Pengeluaran Pembantu12 bulan x 190.000,00 = 2.280.000,00
Pembuat Dokumen12 bulan x 110.000,00 = 1.320.000,00
Pengelola urs. Kepegawaian12 bulan x 70.000,00 = 840.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1400000,
