Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Humas,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5,BELANJA,2167334492,
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,2167334492,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,109136000,
1.20 . 1.20.03 . 01 . 01,Penyediaan jasa surat menyurat,1500000,"Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : Bantul
Keluaran : Tersedianya 200 materai 6000 dan 100 buah materai 3000
Target  : 100 %"
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",1500000,"Pendapatan Asli Daerah (P A D) 
BELANJA PEMBELIAN MATERAI
Belanja Materai200 buah x 6.000,00 = 1.200.000,00
Belanja Materai100 buah x 3.000,00 = 300.000,00"
1.20 . 1.20.03 . 01 . 02,"Penyediaan jasa komunikasi, sumber daya air dan listrik",5000000,"Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : BANTUL
Keluaran : Tersediannya Biaya Telepon selama 12 bulan
Target  : 100 %"
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,5000000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,5000000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03 . 01,Belanja Telepon,5000000,"Pendapatan Asli Daerah (P A D) 
Belanja Telepon
Belanja Telpon1 thn x 5.000.000,00 = 5.000.000,00"
1.20 . 1.20.03 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,3000000,"Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : BANTUL
Keluaran : Tercapainya permeliharaan 7 sepeda motor dan 1 unit mobil
Target  : 100 %"
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,3000000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,3000000,"Pendapatan Asli Daerah (P A D) 
Belanja Surat tanda nomor kendaraan
Kendaraan roda empat2 unit/thn x 1.050.000,00 = 2.100.000,006 
kendaraan roda6 unit/thn x 150.000,00 = 900.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,11880000,"Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : BANTUL
Keluaran : Terlaksananya adm keuangan kantor
Target  : 100 PERSEN"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,10680000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,10680000,
