Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.19.03,,
Organisasi,Badan Penanggulanagan Bencana,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 00 . 00 . 5  , BELANJA  ,4709865180,
1.19 . 1.19.03 . 00 . 00 . 5 . 1  , BELANJA TIDAK LANGSUNG  ,1240924000,
1.19 . 1.19.03 . 00 . 00  , Non Kegiatan  ,1240924000, Sumber Dana : 
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1  , Belanja Pegawai  ,1240924000,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01  , Belanja Gaji dan Tunjangan  ,1240924000,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 01  , Gaji Pokok PNS/Uang Representasi  ,960928800," Gaji Pokok PNSGaji Pokok1 th x 960.928.800,00 = 960.928.800,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 02  , Tunjangan Keluarga  ,91940030," Tunjangan Keluarga1 th x 91.940.030,00 = 91.940.030,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 03  , Tunjangan Jabatan  ,47944000," Tunjangan Jabatan1 th x 47.944.000,00 = 47.944.000,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 04  , Tunjangan Fungsional  ,0," Tunjangan Fungsional1 th x 0,00 = 0,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 05  , Tunjangan Fungsional Umum  ,50255400," Tunjangan Fungsional Umum1 th x 50.255.400,00 = 50.255.400,00"
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 06  , Tunjangan Beras  ,68990480," Tunjangan Beras1 th x 68.990.480,00 = 68.990.480,00"
