Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Protokol,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5,BELANJA,789470000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,789470000,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,195650000,
1.20 . 1.20.03 . 01 . 01,Penyediaan jasa surat menyurat,3000000,"Sumber Dana : APBD
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersedianya materai dan benda pos lainnya
Target     :  675 lbr"
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3000000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,3000000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",3000000,"APBD
   Belanja Materai
Materai @ 3.000350 lb x 3.000,00 = 1.050.000,00
Materai @ 6.000325 lb x 6.000,00 = 1.950.000,00"
1.20 . 1.20.03 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,1500000,"Sumber Dana : APBD
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tercapainya tertib administrasi
Target     :  5 STNK"
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,1500000,
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,1500000,"APBD 
  Belanja Pajak Kendaraan Bermotor
""Belanja Surat Tanda Nomor Kendaraan 
Kendaraan Roda 4 : 2bh Roda 2 : 2bh""1 th x 1.500.000,00 = 1.500.000,00"
1.20 . 1.20.03 . 01 . 07,Penyediaan jasa administrasi keuangan,11000000,"Sumber Dana : APBD
Lokasi Kegiatan : Kec. Bantul
Keluaran :  Tersediannya honor administrasi pengelola keuangan
Target     :  7 orang"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1,Belanja Pegawai,9480000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,9480000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06,Honor Pengelola Keuangan dan Barang,9480000,"APBD  
 Bendahara Pengeluaran Pembantu12 ob x 160.000,00 = 1.920.000,00
Pembantu Bendahara (pembuat Dokumen)12 ob x 110.000,00 = 1.320.000,00
Pembantu Bendahara (Pembuat Dokumen)12 ob x 110.000,00 = 1.320.000,00
Pembantu Bendaha Pengurus Gaji12 ob x 75.000,00 = 900.000,00
Pengurus Barang12 ob x 150.000,00 = 1.800.000,00
Penyimpan Barang12 ob x 110.000,00 = 1.320.000,00
Personalia Administrasi Kepegawaian12 ob x 75.000,00 = 900.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1520000,
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
