Judul;Penjabaran Anggaran Pendapatan dan Belanja Daerah;;
Daerah;Kota Yogyakarta;;
Tahun;2014;;
Kode Organisasi;1.12.01;;
Nama Organisasi;Kantor Keluarga Berencana ;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.12.01 ;Kantor Keluarga Berencana ;6434070585;
1.12.1.12.01.00 ;BELANJA TIDAK LANGSUNG ;2359785796;
1.12.1.12.01.00.00.5.1.1 ;BELANJA PEGAWAI ;2359785796;
1.12.1.12.01.00.00.5.1.1.01 ;Belanja Gaji Dan Tunjangan ;2359785796;Belanja Gaji Dan Tunjangan 2.359.785.796
1.12.1.12.01.00.00.5.1.1.01.01 ;Gaji Pokok PNS/Uang Representasi ;1849119780;
1.12.1.12.01.00.00.5.1.1.01.02 ;Tunjangan Keluarga ;160955023;
1.12.1.12.01.00.00.5.1.1.01.03 ;Tunjangan Jabatan Struktural ;38376000;
1.12.1.12.01.00.00.5.1.1.01.04 ;Tunjangan Jabatan Fungsional ;126654125;
1.12.1.12.01.00.00.5.1.1.01.05 ;Tunjangan Umum ;26869375;
1.12.1.12.01.00.00.5.1.1.01.06 ;Tunjangan Beras ;103185900;
1.12.1.12.01.00.00.5.1.1.01.07 ;Tunjangan  PPh/Tunjangan Khusus ;54600111;
1.12.1.12.01.00.00.5.1.1.01.08 ;Pembulatan Gaji ;25482;
1.12.1.12.01.00.00 ;BELANJA LANGSUNG ;4074284789;
1.12.1.12.01.01.00 ;Program Pelayanan Administrasi Perkantoran ;303525539;
1.12.1.12.01.01.01 ;Penyediaan jasa surat menyurat ;2025000;
1.12.1.12.01.01.01.5.2.2 ;BELANJA BARANG DAN JASA ;2025000;
1.12.1.12.01.01.01.5.2.2.01 ;Belanja Bahan Pakai Habis ;2025000;
1.12.1.12.01.01.01.5.2.2.01.04 ;Belanja Perangko, Materai, dan Benda Pos Lainnya ;2025000;Belanja Perangko, Materai, dan Benda Pos Lainnya 2.025.000
1.12.1.12.01.01.02 ;Penyediaan jasa komunikasi,sumber daya air dan listrik ;2400000;
1.12.1.12.01.01.02.5.2.2 ;BELANJA BARANG DAN JASA ;2400000;
1.12.1.12.01.01.02.5.2.2.03 ;Belanja Jasa Kantor ;2400000;
1.12.1.12.01.01.02.5.2.2.03.01 ;Belanja Telepon ;2400000;Belanja Telepon 2.400.000
1.12.1.12.01.01.03 ;Penyediaan jasa peralatan dan perlengkapan kantor ;1000000;
1.12.1.12.01.01.03.5.2.1 ;BELANJA PEGAWAI ;1000000;
1.12.1.12.01.01.03.5.2.1.02 ;Honorarium Non PNS ;1000000;
1.12.1.12.01.01.03.5.2.1.02.03 ;Honorarium Tenaga Teknis  Harian ;1000000;Honorarium Tenaga Teknis  Harian 1.000.000
1.12.1.12.01.01.06 ;Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ;8475000;
1.12.1.12.01.01.06.5.2.2 ;BELANJA BARANG DAN JASA ;8475000;
1.12.1.12.01.01.06.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;8475000;
1.12.1.12.01.01.06.5.2.2.05.05 ;Belanja STNK ;8475000;Belanja STNK 8.475.000
1.12.1.12.01.01.07 ;Penyediaan jasa administrasi keuangan ;34800000;
1.12.1.12.01.01.07.5.2.1 ;BELANJA PEGAWAI ;34800000;
1.12.1.12.01.01.07.5.2.1.01 ;Honorarium PNS ;34800000;
1.12.1.12.01.01.07.5.2.1.01.05 ;Honorarium Pengelola Keuangan/Barang ;34800000;Honorarium Pengelola Keuangan/Barang 34.800.000
1.12.1.12.01.01.08 ;Penyediaan jasa kebersihan kantor ;14312062;
1.12.1.12.01.01.08.5.2.1 ;BELANJA PEGAWAI ;180000;
1.12.1.12.01.01.08.5.2.1.02 ;Honorarium Non PNS ;180000;
1.12.1.12.01.01.08.5.2.1.02.03 ;Honorarium Tenaga Teknis  Harian ;180000;Honorarium Tenaga Teknis  Harian 180
1.12.1.12.01.01.08.5.2.2 ;BELANJA BARANG DAN JASA ;14132062;
