Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Gunungkidul,,,,,
tahun ,2016,,,,,
Kode Organisasi,1.19,,,,,
Nama Organisasi,Badan Penanggulangan Bencana Daerah,,,,,
Kolom,4,,,,,
Kode Rekening,URAIAN,jumlah,Penjelasan,,,
1.19.1.19.02.00.00.4. ,PENDAPATAN,,,,,
1.19.1.19.02.00.00.8. ,PENDAPATAN - LO,,,,,
1.19.1.19.02.00.00.5. ,BELANJA DAERAH ,2420972508.55,,,,
1.19.1.19.02.00.00.9. ,BEBAN ,2420972508.55,,,,
1.19.1.19.02.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,1139811208.55,,,,
1.19.1.19.02.00.00.5.1.1. ,BELANJA PEGAWAI ,1139811208.55,,,,
1.19.1.19.02.00.00.5.1.1.01. ,Gaji dan Tunjangan ,1139811208.55,,,,
1.19.1.19.02.00.00.5.1.1.01.001. ,Gaji Pokok/Uang Representasi ,863024979.6,Gaji Pokok 863024979.60 Golongan IV (1 orang) 64391355.00 Golongan III (10 orang) 504411049.80 Golongan II (8 orang) 294222574.80 ,,,
1.19.1.19.02.00.00.5.1.1.01.002. ,Tunjangan Keluarga ,108052238.95,Tunjangan Keluarga 108052238.95 Tunjangan Istri/Suami (17 orang) 82503514.80 Tujangan anak (29 orang) 25548724.15 ,,,
1.19.1.19.02.00.00.5.1.1.01.003. ,Tunjangan Jabatan ,62300000,Tunjangan Struktural 62300000.00 Esselon IIIA (1 orang) 17640000.00 Esselon IVA (5 orang) 37800000.00 Esselon IVB (1 orang) 6860000.00 ,,,
1.19.1.19.02.00.00.5.1.1.01.005. ,Tunjangan Fungsional Umum ,30520000,Tunjangan Fungsional Umum 30520000.00 Golongan III (4 orang) 10360000.00 Golongan II (8 orang) 20160000.00 ,,,
1.19.1.19.02.00.00.5.1.1.01.006. ,Tunjangan Beras ,57356640,Tunjangan beras (66 jiwa) 57356640.00 ,,,
1.19.1.19.02.00.00.5.1.1.01.007. ,Tunjangan PPh/Tunjangan Khusus ,18544890,Tujangan PPh/Tunjangan Khusus 18544890.00 ,,,
1.19.1.19.02.00.00.5.1.1.01.008. ,Pembulatan Gaji ,12460,Pembulatan gaji 12460.00 ,,,
1.19.1.19.02.00.00.5.2. ,BELANJA LANGSUNG ,1281161300,,,,
1.19.1.19.02.01. ,PROGRAM PELAYANAN ADMINISTRASI ,178536300, PERKANTORANLokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,500000,Sumber Dana: PAD.  DAU.  Bagi Hasil Pajak Prov. ,,,
1.19.1.19.02.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,500000,,,,
1.19.1.19.02.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,500000,,,,
1.19.1.19.02.01.01.5.2.2.01.004. ,Belanja perangko/meterai ,500000,Belanja jasa pengiriman surat dinas 500000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER DAYA ,37200000, AIR DAN LISTRIKSumber Dana: PAD. ,,,
1.19.1.19.02.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,37200000,,,,
1.19.1.19.02.01.02.5.2.2.03. ,Belanja Jasa Kantor ,37200000,,,,
1.19.1.19.02.01.02.5.2.2.03.001. ,Belanja telephon/kawat/faximile/internet ,6000000,Belanja telepon kantor BPBD 6000000.00 ,,,
1.19.1.19.02.01.02.5.2.2.03.002. ,Belanja air ,3600000,Belanja air kantor BPBD 1800000.00 Belanja air kantor UPT PBK 1800000.00 ,,,
1.19.1.19.02.01.02.5.2.2.03.003. ,Belanja listrik ,27600000,Belanja listrik Kantor BPBD 18000000.00 Belanja listrik Kantor UPT PBK 6000000.00 Belanja listrik Repiter Penanggulangan Bencana 3 lokasi 3600000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.04. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,12576300, PERIZINAN KENDARAAN DINAS/OPERASIONALSumber Dana: PAD.  DAU. ,,,
1.19.1.19.02.01.04.5.2.2. ,BELANJA BARANG DAN JASA ,12576300,,,,
1.19.1.19.02.01.04.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,12576300,,,,
1.19.1.19.02.01.04.5.2.2.05.005. ,Belanja Surat Tanda Nomor Kendaraan ,12576300,Belanja STNK kendaraan dinas roda 6 tangki air 1420000.00 Belanja STNK Kendaraan dinas roda 4 (Avanza) 668000.00 Belanja STNK Kendaraan dinas roda 4 ambulance 443000.00 Belanja STNK kendaraan dinas Roda 4 Ford Ranger 1835000.00 Belanja STNK kendaraan dinas roda 4 minibus 983000.00 Belanja STNK kendaraan dinas roda 4 Pick-Up 1691000.00 Belanja STNK Kendaraan damkar baru 2538000.00 Belanja STNK Kendaraan damkar 347000.00 Belanja STNK Kendaraan damkar 1114800.00 Belanja STNK Kendaraan damkar 386500.00 Belanja STNK Kendaraan dinas roda 2 1150000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.07. ,PENYEDIAAN JASA PERBAIKAN PERALATAN KERJA ,22800000,Sumber Dana: PAD.  DAU. ,,,
1.19.1.19.02.01.07.5.2.2. ,BELANJA BARANG DAN JASA ,22800000,,,,
1.19.1.19.02.01.07.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,22800000, kantor,,,
1.19.1.19.02.01.07.5.2.2.18.001. ,Belanja pemeliharaan perlatan kantor ,4000000,Belanja pemeliharaan peralatan kantor BPBD (komputer. laptop. printer. mesin 3500000.00 ketik. kamera dan lainnya) Belanja pemeliharaan peralatan kantor UPT PBK (komputer. laptop. printer. 500000.00 mesin ketik. kamera dan lainnya) ,,,
1.19.1.19.02.01.07.5.2.2.18.002. ,Belanja pemeliharaan perlengkapan kantor ,18800000,Belanja pemeliharaan/perbaikan HT. RIG dan Repeater 3000000.00 Belanja pemeliharaan/perbaikan peralatan SAR 500000.00 Belanja pemeliharaan/perbaikan mesin Chainsaw 1500000.00 Belanja pemeliharaan/perbaikan perlengkapan kantor UPT PBK 800000.00 Belanja pemeliharaan/perbaikan EWS Tsunami (7 Unit) 7000000.00 Belanja repeater Link EWS Tsunami (1 unit) 6000000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.08. ,PENYEDIAAN ALAT TULIS KANTOR ,9000000,Sumber Dana: DAU. ,,,
1.19.1.19.02.01.08.5.2.2. ,BELANJA BARANG DAN JASA ,9000000,,,,
1.19.1.19.02.01.08.5.2.2.01. ,Belanja Bahan Pakai Habis ,9000000,,,,
1.19.1.19.02.01.08.5.2.2.01.001. ,Belanja alat tulis kantor ,9000000,Belanja Alat Tulis Kantor BPBD (HVS. Buku Tulis. Reffil Toner. Bulpoint. Staples. 8500000.00 Spidol. Map dll) Belanja Alat Tulis Kantor UPT PBK (HVS. Buku Tulis. Reffil Toner. Bulpoint. 500000.00 Staples. Spidol. Map dll) Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.09. ,PENYEDIAAN BARANG CETAKAN DAN ,9000000, PENGGANDAANSumber Dana: DAU. ,,,
1.19.1.19.02.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,9000000,,,,
1.19.1.19.02.01.09.5.2.2.06. ,Belanja Cetak dan Penggandaan ,9000000,,,,
1.19.1.19.02.01.09.5.2.2.06.001. ,Belanja Cetak ,3000000,Belanja barang-barang cetakan 3000000.00 ,,,
1.19.1.19.02.01.09.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,6000000,Belanja penggandaan/foto copy dan penjilidan BPBD 5500000.00 Belanja penggandaan/foto copy dan penjilidan UPT PBK 500000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
1.19.1.19.02.01.10. ,PENYEDIAAN KOMPONEN INSTALASI ,2000000, LISTRIK/PENERANGAN BANGUNAN KANTORSumber Dana: PAD.  DAU. ,,,
1.19.1.19.02.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,2000000,,,,
1.19.1.19.02.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,2000000,,,,
1.19.1.19.02.01.10.5.2.2.01.003. ,Belanja alat listrik dan elektronika (lampu pijar^ batery ,2000000, keriBelanja alat listrik dan elektronika BPBD (lampu. kabel. baterai. dan lainnya) 1500000.00 Belanja alat listrik dan elektronika UPT PBK (lampu. kabel. baterai. dan lainnya) 500000.00 Lokasi Kegiatan: BPBD Kabupaten Gunungkidul,,,
