Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulonprogo,,
Tahun,2015,,
Kode Organisasi,1.10.01,,
Nama Organisasi,Dinas Kependudukan dan Catatan Sipil,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.10 . 1.10.01 . 00 . 00 . 5 ,BELANJA ,3910514527,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,2919852327,
1.10 . 1.10.01 . 00 . 00 ,Non Kegiatan ,2919852327,Sumber Dana : 
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,2919852327,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,2919852327,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,2297854933,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,197485911,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,144105000,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,91515250,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,128327706,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,60522843,
1.10 . 1.10.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,40684,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,990662200,
1.10 . 1.10.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,155645800,
1.10 . 1.10.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,102153400,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,45000000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,45000000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,9120000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,35880000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,57153400,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,26599000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,14359000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko Materai Dan Benda Pos Lainnya ",12240000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1540000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,1540000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,29014400,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,25019000,
1.10 . 1.10.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3995400,
1.10 . 1.10.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,24180000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.10 . 1.10.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,24180000,
1.10 . 1.10.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,24180000,
1.10 . 1.10.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,24180000,
1.10 . 1.10.01 . 01 . 28 ,"Penyediaan Rapat-Rapat  Konsultasi dan Koordinasi ",29312400,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,29312400,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,7925000,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7925000,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,21387400,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3710000,
1.10 . 1.10.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,17677400,
1.10 . 1.10.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,187605000,
1.10 . 1.10.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,62725000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.10 . 1.10.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,62725000,
1.10 . 1.10.01 . 11 . 01 . 5 . 2 . 3 . 17 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,32675000,
