Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
Daerah,Kabupaten Bantul,,,
Tahun,2015,,,
Kode Organisasi,2.05.01,,,
Organisasi,Dinas Kelautan dan Perikanan,,,
Kolom,4,,,
No. Rekening,Uraian,Jumlah,Keterangan,
2.05 . 2.05.01 . 00 . 00 . 4 , PENDAPATAN ,222407550,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 , PENDAPATAN ASLI DAERAH ,222407550,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 2 , Hasil Retribusi Daerah ,80000000,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 2 . 02 , Retribusi Jasa Usaha ,80000000,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 2 . 02 . 26 , Retribusi Penjualan Produksi Usaha Daerah ,80000000," Perda Kab. Bantul Nomor 7 Tahun 2011Penjualan hasil usaha produksi perikanan1 Tahun x 80.000.000,00 = 80.000.000,00",
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 4 , Lain-lain Pendapatan Asli Daerah yang Sah ,142407550,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 4 . 17 , Hasil dari pengelolaan dana bergulir ,4200000,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 4 . 17 . 01 , Hasil dari pengelolaan dana bergulir ,4200000," Perda Kab. Bantul Nomor 7 Tahun 2012Dana bergulir perikanan1 Tahun x 4.200.000,00 = 4.200.000,00",
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 4 . 18 , Lain-lain PAD yang Sah Lainnya ,138207550,,
2.05 . 2.05.01 . 00 . 00 . 4 . 1 . 4 . 18 . 03 , Pendapatan dari sewa kapal dan sewa kawasan BAT ,138207550," Sewa Kapal1 Tahun x 47.776.000,00 = 47.776.000,00
Sewa Kawasan BAT1 Tahun x 90.431.550,00 = 90.431.550,00",
2.05 . 2.05.01 . 00 . 00 . 5 , BELANJA ,13900855795,,
