Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Administrasi Pembangunan,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5,BELANJA,1570455200,
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,1570455200,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,171747500,
1.20 . 1.20.03 . 01 . 01,Penyediaan jasa surat menyurat,6375000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Terpenuhinya kebutuhan materai penunjang kegiatan, materai 3000 dan 6000
Target : 1.125 buah"
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,6375000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,6375000,
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04,Belanja Perangko Materai Dan Benda Pos,6375000," Belanja Perangko, Materai dan Benda Pos lainnya
Materai1,000 buah x 6.000,00 = 6.000.000,00
Materai125 buah x 3.000,00 = 375.000,00"
1.20 . 1.20.03 . 01 . 02,Penyediaan jasa komunikasi^ sumber daya air dan listrik,46000000,"Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Terpenuhinya kebutuhan komunikasi, sumber daya air dan listrik
Target : 1 tahun kegiatan"
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,46000000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,46000000,
1.20 . 1.20.03 . 01 . 02 . 5 . 2 . 2 . 03 . 01,Belanja Telepon,9000000," Belanja telpon1 tahun x 9.000.000,00 = 9.000.000,00"
