Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,2.01.01,,,,,
Nama Organisasi,Dinas Pertanian dan Kehutanan,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
2.01 . 2.01.01 . 00.00 . 4 ,PENDAPATAN ,34000000,34000000,0,0,
2.01 . 2.01.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,34000000,34000000,0,0,
2.01 . 2.01.01 . 00.00 . 4.1.2 ,Hasil Retribusi Daerah ,34000000,34000000,0,0,
2.01 . 2.01.01 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,34000000,34000000,0,0,
2.01 . 2.01.01 . 00.00 . 4.1.2.02.13 ,Retribusi Penjualan Produksi Usaha Daerah ,34000000,34000000,0,0,Peraturan Daerah Kabupaten Kulon Progo  Nomor 13 Tahun 2012 tentang Retribusi Penjualan Produk Usaha Daerah. Lembaran Daerah Kabupaten Kulon Progo  Tahun 2012 Nomor 13
2.01 . 2.01.01 . 00.00 . 5 ,BELANJA ,12435351037,12944148916,508797879,409,
2.01 . 2.01.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,4854492597,4363012926,-491479671,-1012,
2.01 . 2.01.01 . 00.00 ,Non Kegiatan ,4854492597,4363012926,-491479671,-1012,Sumber Dana : 
2.01 . 2.01.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,4854492597,4363012926,-491479671,-1012,
2.01 . 2.01.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,4852792597,4361312926,-491479671,-1013,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,3734278678,3381732223,-352546455,-944,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,343851077,304618603,-39232474,-1141,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,199485000,184925000,-14560000,-73,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,157215653,49150500,-108065153,-6874,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,137507838,142423875,4916037,358,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,208721016,216073088,7352072,352,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,71672298,82332394,10660096,1487,
2.01 . 2.01.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,61037,57243,-3794,-622,
2.01 . 2.01.01 . 00.00 . 5.1.1.05 ,Belanja Insentif Pemungutan Pajak/Retribusi Daerah,1700000,1700000,0,0,
2.01 . 2.01.01 . 00.00 . 5.1.1.05.01 ,Belanja Pemungutan Pajak/Retribusi ,1700000,1700000,0,0,
2.01 . 2.01.01 . 01.02 . 5.2 ,BELANJA LANGSUNG ,7580858440,8581135990,1000277550,1319,
2.01 . 2.01.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,152722000,152722000,0,0,
2.01 . 2.01.01 . 01.02 ,Penyediaan Jasa Komunikasi. Sumber Daya Air dan Listrik,32760000,32760000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,32760000,32760000,0,0,
2.01 . 2.01.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,32760000,32760000,0,0,
2.01 . 2.01.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,15600000,15600000,0,0,
2.01 . 2.01.01 . 01.02 . 5.2.2.03.02 ,Belanja Air ,1680000,1680000,0,0,
2.01 . 2.01.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,15480000,15480000,0,0,
2.01 . 2.01.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,8622000,8622000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,8622000,8622000,0,0,
2.01 . 2.01.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,8622000,8622000,0,0,
2.01 . 2.01.01 . 01.06 . 5.2.2.05.04 ,Belanja Jasa KIR ,280000,280000,0,0,
2.01 . 2.01.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,8342000,8342000,0,0,
2.01 . 2.01.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,22740000,22740000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,22740000,22740000,0,0,
2.01 . 2.01.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,22740000,22740000,0,0,
2.01 . 2.01.01 . 01.07 . 5.2.1.01.04 ,Honorarium Bendahara/Pengurus Barang ,22740000,22740000,0,0,
2.01 . 2.01.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,1000000,1000000,0,0,Sumber Dana :   Lokasi Kegiatan : Kabupaten Kulon Progo 
2.01 . 2.01.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,1000000,1000000,0,0,
2.01 . 2.01.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1000000,1000000,0,0,
