Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulonprogo,,
Tahun,2015,,
Kode Organisasi,1.19.01,,
Nama Organisasi,Badan Penanggulangan Bencana Daerah,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 00 . 00 . 5 ,BELANJA ,2316283784,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,1347690809,
1.19 . 1.19.03 . 00 . 00 ,Non Kegiatan ,1347690809,Sumber Dana : 
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,1347690809,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,1347690809,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,1038068648,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,116385627,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,51480000,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,48095775,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,68250394,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,25395931,
1.19 . 1.19.03 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,14434,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,968592975,
1.19 . 1.19.03 . 01 ,Program Pelayanan Administrasi Perkantoran ,102869500,
1.19 . 1.19.03 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,28796500,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,18252000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,18252000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,12402000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,5850000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,10544500,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,6784500,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,4286300,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 01 . 03 ,"Belanja Alat Listrik Dan Elektronik (Lampu Pijar Battery Kering) ",1328200,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko Materai Dan Benda Pos Lainnya ",1170000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,960000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,960000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2800000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,2765000,
1.19 . 1.19.03 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,35000,
1.19 . 1.19.03 . 01 . 27 ,Penyediaan Jasa  keuangan ,14100000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,14100000,
1.19 . 1.19.03 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,14100000,
1.19 . 1.19.03 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,14100000,
1.19 . 1.19.03 . 01 . 28 ,"Penyediaan Rapat-Rapat Konsultasi dan Koordinasi ",41623000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,41623000,
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,7550000,
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7550000,
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,34073000,
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1555000,
1.19 . 1.19.03 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,32518000,
1.19 . 1.19.03 . 01 . 40 ,Fasilitasi Unsur Pengarah ,18350000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01 . 40 . 5 . 2 . 1 ,Belanja Pegawai ,17520000,
1.19 . 1.19.03 . 01 . 40 . 5 . 2 . 1 . 01 ,Honorarium PNS ,17520000,
