Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Organisasi,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5 , BELANJA       ,1217516700,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 ,  BELANJA LANGSUNG      ,1217516700,    
1.20 . 1.20.03 . 01 ,   Program Pelayanan Administrasi Perkantoran     ,101931400,    
1.20 . 1.20.03 . 01 . 01 , Penyediaan jasa surat menyurat    ,1732500," Sumber Dana :  
  Lokasi Kegiatan : Bagian Organisasi Setda  

 Keluaran : Tersediannya materai dan benda pos lainya  
 Target  : 445 lembar   "
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 ,     Belanja Barang dan Jasa   ,1732500,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 ,      Belanja Bahan Pakai Habis  ,1732500,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ,"       Belanja Perangko, Materai Dan Benda Pos ",1732500,"    Belanja Materai   
Materai 6000an  125 lembar x 6.000,00 = 750.000,00 
Materai 3000an  320 lembar x 3.000,00 = 960.000,00 
Selisih  1 ls x 22.500,00 = 22.500,00 "
1.20 . 1.20.03 . 01 . 06 ,    Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional    ,2100000," Sumber Dana :  
  Lokasi Kegiatan : Bagian Organisasi Setda
   Keluaran : Surat Tanda Nomor Kendaraan dan Pajak Kendaraan  
 Target  : 5 unit   "
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 ,     Belanja Barang dan Jasa   ,2100000,    
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 ,      Belanja Perawatan Kendaraan Bermotor  ,2100000,    
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 07 ,       Belanja Surat Tanda Nomor Kendaraan ,2100000,"    Pajak Kendaraan Dinas 
  Kendaraan Roda empat 2 unit, 
Kendaraan Roda dua 3 unit  1 ls x 2.100.000,00 = 2.100.000,00 "
1.20 . 1.20.03 . 01 . 07 ,    Penyediaan jasa administrasi keuangan    ,12062000," Sumber Dana :    
Lokasi Kegiatan : Bagian Organisasi Setda  
 Keluaran : Terlaksananya Kegiatan Adm. Keuangan  
 Target  : 84 ob   "
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 ,     Belanja Pegawai   ,11460000,    
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 ,      Honorarium PNS  ,11460000,    
