Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.22.01,,,,,
Nama Organisasi,Badan Pemberdayaan Masyarakat Pemerintahan Desa Perempuan dan Keluarga Berencana,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.22 . 1.22.01 . 00.00 . 5 ,BELANJA ,14486430713,15359138816,872708103,6.02,
1.22 . 1.22.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,5326669513,5577731396,251061883,4.71,
1.22 . 1.22.01 . 00.00 ,Non Kegiatan ,5326669513,5577731396,251061883,4.71,Sumber Dana : 
1.22 . 1.22.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,5326669513,5577731396,251061883,4.71,
1.22 . 1.22.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,5326669513,5577731396,251061883,4.71,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,4176907040,4335013276,158106236,3.79,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,336525059,381887787,45362728,13.48,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,215865000,193600000,-22265000,-10.31,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,222829133,221776313,-1052820,-0.47,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,77292987,90551225,13258238,17.15,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,201584979,234737588,33152609,16.45,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,95605966,120078322,24472356,25.6,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,59349,86885,27536,46.4,
1.22 . 1.22.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,9159761200,9781407420,621646220,6.79,
1.22 . 1.22.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,177378950,190128950,12750000,7.19,
1.22 . 1.22.01 . 01.01 ,Penyediaan Jasa Surat Menyurat ,1000000,1000000,0,0,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.22 . 1.22.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,1000000,1000000,0,0,
1.22 . 1.22.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1000000,1000000,0,0,
1.22 . 1.22.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya",1000000,1000000,0,0,
1.22 . 1.22.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",30600000,41400000,10800000,35.29,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.22 . 1.22.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,30600000,41400000,10800000,35.29,
1.22 . 1.22.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,30600000,41400000,10800000,35.29,
1.22 . 1.22.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,12000000,12600000,600000,5,Belanja telepon
1.22 . 1.22.01 . 01.02 . 5.2.2.03.02 ,Belanja Air ,4800000,6900000,2100000,43.75,Belanja air
1.22 . 1.22.01 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,13800000,21900000,8100000,58.7,
1.22 . 1.22.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,20397000,20397000,0,0,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.22 . 1.22.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,20397000,20397000,0,0,
1.22 . 1.22.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,20397000,20397000,0,0,
1.22 . 1.22.01 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,20397000,20397000,0,0,
1.22 . 1.22.01 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,21900000,21900000,0,0,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.22 . 1.22.01 . 01.07 . 5.2.1 ,Belanja Pegawai ,21900000,21900000,0,0,
1.22 . 1.22.01 . 01.07 . 5.2.1.01 ,Honorarium PNS ,21900000,21900000,0,0,
1.22 . 1.22.01 . 01.07 . 5.2.1.01.04 ,Honorarium Bendahara/Pengurus Barang ,21900000,21900000,0,0,
1.22 . 1.22.01 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,11750000,13700000,1950000,16.6,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo
1.22 . 1.22.01 . 01.08 . 5.2.1 ,Belanja Pegawai ,9750000,11700000,1950000,20,
1.22 . 1.22.01 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,9750000,11700000,1950000,20,
1.22 . 1.22.01 . 01.08 . 5.2.1.02.03 ,Honorarium Harian ,9750000,11700000,1950000,20,Petugas Kebersihan
1.22 . 1.22.01 . 01.08 . 5.2.2 ,Belanja Barang dan Jasa ,2000000,2000000,0,0,
1.22 . 1.22.01 . 01.08 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,2000000,2000000,0,0,
1.22 . 1.22.01 . 01.08 . 5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih,2000000,2000000,0,0,
