Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,
Daerah,Kabupaten Gunungkidul,,,,
tahun ,2014,,,,
Kode Organisasi,2.02,,,,
Nama Organisasi,Dinas Kehutanan dan Perkebunan,,,,
Kolom,4,,,,
Kode Rekening,URAIAN,jumlah,Keterangan,,
2.02.2.02.01.00.00.4. ,PENDAPATAN ,25000000,,,
2.02.2.02.01.00.00.4.1. ,PENDAPATAN ASLI DAERAH ,25000000,,,
2.02.2.02.01.00.00.4.1.2. ,HASIL RETRIBUSI DAERAH ,25000000,,,
2.02.2.02.01.00.00.4.1.2.02. ,Retribusi Jasa Usaha ,25000000,,,
2.02.2.02.01.00.00.4.1.2.02.13. ,Retribusi Penjualan Produksi Usaha Daerah ,25000000,Retribusi Penjualan Produksi Usaha Daerah  25000000.00  Penjualan Hasil Kebun Bibit 25000000.00 Berdasarkan Perda No 17 Tahun 2011 LD Tahun 2011 No 8 Seri C. tentang  Retribusi Penjualan Produksi Usaha Daerah JUMLAH PENDAPATAN , 25.000.000^00 ,
2.02.2.02.01.00.00.5. ,BELANJA DAERAH ,8075030260.03,,,
2.02.2.02.01.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,2953716760.03,,,
2.02.2.02.01.00.00.5.1.1. ,BELANJA PEGAWAI ,2953716760.03,,,
2.02.2.02.01.00.00.5.1.1.01. ,Gaji dan Tunjangan ,2953716760.03,,,
2.02.2.02.01.00.00.5.1.1.01.01. ,Gaji Pokok ,2306254396.31,Gaji Pokok  2306254396.31  Golongan I = 1 orang 22993249.77 Golongan II : 4 117008195.39 Golongan III : 48 org 1934213806.45 Golongan IV : 5 orang 232039144.70,,
2.02.2.02.01.00.00.5.1.1.01.02. ,Tunjangan Keluarga ,203327771.72,Tunjangan Keluarga  203327771.72  Istri/Suami = 39 153417862.12 Anak = 63 orang 49909909.60,,
2.02.2.02.01.00.00.5.1.1.01.03. ,Tunjangan Jabatan ,170105000,Tunjangan Jabatan  170105000.00  Eselon IIb = 1 orang 26325000.00 Eselon IIIa = 1 orang 16250000.00 Eselon IIIb = 4 orang 50960000.00 Eselon IVa = 10 orang 70200000.00 Eselon IV b = 1 orang 6370000.00,,
2.02.2.02.01.00.00.5.1.1.01.05. ,Tunjangan Fungsional Umum ,105430000,Tunjangan Fungsional Umum  105430000.00  Golongan 1 = 1 orang 2275000.00 Golongan II = 4 orang 9360000.00 Golongan III = 39 orang 93795000.00,,
2.02.2.02.01.00.00.5.1.1.01.06. ,Tunjangan Beras ,127980000,Tunjangan Beras  127980000.00  Tunjangan Beras = 158 orang 127980000.00,,
2.02.2.02.01.00.00.5.1.1.01.07. ,Tunjangan PPh/Tunjangan Khusus ,40591512,Tunjangan PPh/Tunjangan Khusus  40591512.00  Tunjangan PPh 40591512.00,,
2.02.2.02.01.00.00.5.1.1.01.08. ,Pembulatan Gaji ,28080,Pembulatan Gaji  28080.00  Pembulatan gaji 28080.00,,
2.02.2.02.01.00.00.5.2. ,BELANJA LANGSUNG ,5121313500,,,
2.02.2.02.01.01. ,PROGRAM PELAYANAN ADMINISTRASI ,276180400, PERKANTORAN,,
2.02.2.02.01.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,2040000,,,
2.02.2.02.01.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,2040000,,,
2.02.2.02.01.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,2040000,,,
2.02.2.02.01.01.01.5.2.2.01.04. ,Belanja perangko^ meterai^ dan benda pos lainnya ,2040000,Belanja perangko. meterai. dan benda pos lainnya  2040000.00  Belanja perangko 240000.00 Belanja meterai 6000 720000.00 Belanja meterai 3000 1080000.00,,
2.02.2.02.01.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER ,40000000, DAYA AIR DAN LISTRIK,,
2.02.2.02.01.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,40000000,,,
2.02.2.02.01.01.02.5.2.2.03. ,Belanja Jasa Kantor ,40000000,,,
2.02.2.02.01.01.02.5.2.2.03.01. ,Belanja telephon ,10200000,Belanja telephon  10200000.00  Belanja telepon Dinas 9240000.00 Belanja telepon UPTD 960000.00,,
2.02.2.02.01.01.02.5.2.2.03.02. ,Belanja air ,13800000,Belanja air  13800000.00  Belanja air Dinas 6600000.00 Belanja air UPTD 7200000.00,,
2.02.2.02.01.01.02.5.2.2.03.03. ,Belanja listrik ,15000000,Belanja listrik  15000000.00  Belanja listrik Dinas 13200000.00 Belanja listrik UPTD 1800000.00,,
2.02.2.02.01.01.02.5.2.2.03.06. ,Belanja kawat/faksimili/internet ,1000000,Belanja kawat/faksimili/internet  1000000.00  Belanja domain website Dinas 1000000.00,,
2.02.2.02.01.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,12500000, PERIZINAN KENDARAAN ,, DINAS/OPERASIONAL
2.02.2.02.01.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,12500000,,,
2.02.2.02.01.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,12500000,,,
2.02.2.02.01.01.06.5.2.2.05.04. ,Belanja Jasa Kir ,200000,Belanja Jasa Kir  200000.00  Belanja jasa kir (2 x 1 tahun) 200000.00,,
2.02.2.02.01.01.06.5.2.2.05.05. ,Belanja Surat Tanda Nomor Kendaraan ,12300000,Belanja Surat Tanda Nomor Kendaraan  12300000.00  STNK roda 4 AB 1488 BD 1500000.00 STNK roda 4 AB 1217 HD 600000.00 STNK roda 4 B 1049 PQ 1500000.00 STNK roda 2 7800000.00 Biaya STNK roda 4 AB 8038 CD 900000.00,,
2.02.2.02.01.01.07. ,PENYEDIAAN JASA ADMINISTRASI ,30300000, KEUANGAN,,
2.02.2.02.01.01.07.5.2.1. ,BELANJA PEGAWAI ,30300000,,,
2.02.2.02.01.01.07.5.2.1.01. ,Honorarium PNS ,30300000,,,
2.02.2.02.01.01.07.5.2.1.01.03. ,Honorarium Bendahara^ Pembantu Bendaraha ,30300000,Honorarium Bendahara. Pembantu Bendaraha  30300000.00  Honor Pejabat Penata-usahaan Keuangan 3300000.00 Honor bendahara penerima 1800000.00 Honor bendahara pengeluaran 3000000.00 Honor pembantu bendahara pengeluaran (3 orang) 7200000.00 Honor pengurus barang 2700000.00 Honor pembantu pejabat penata-usahaan keuangan ( 3 orang) 8100000.00 Honor penyimpan barang 2100000.00 Honor pembantu penyimpan barang 2100000.00,,
2.02.2.02.01.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN ,9800000, KERJA,,
2.02.2.02.01.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,9800000,,,
2.02.2.02.01.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,9800000, kantor,,
2.02.2.02.01.01.09.5.2.2.18.01. ,Belanja pemeliharaan perlatan kantor ,9800000,Belanja pemeliharaan perlatan kantor  9800000.00  Pemeliharaan Printer 3300000.00 Penggantian Drum (3 printer x 3 kali) 900000.00 Pengisian tinta toner printer 2400000.00 Pemeliharaan dan service komputer 2500000.00 Pemeliharaan dan service laptop 3000000.00 Pemeliharaan dan service mesin ketik (5 unit) 1000000.00,,
2.02.2.02.01.01.10. ,PENYEDIAAN ALAT TULIS KANTOR ,12000000,,,
2.02.2.02.01.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,12000000,,,
2.02.2.02.01.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,12000000,,,
2.02.2.02.01.01.10.5.2.2.01.01. ,Belanja alat tulis kantor ,12000000,Belanja alat tulis kantor  12000000.00  ATK Dinas 10000000.00 ATK UPTD BPTHP 2000000.00,,
2.02.2.02.01.01.11. ,PENYEDIAAN BARANG CETAKAN DAN ,11600000, PENGGANDAAN,,
2.02.2.02.01.01.11.5.2.2. ,BELANJA BARANG DAN JASA ,11600000,,,
2.02.2.02.01.01.11.5.2.2.06. ,Belanja Cetak dan Penggandaan ,11600000,,,
2.02.2.02.01.01.11.5.2.2.06.01. ,Belanja Cetak ,4100000,Belanja Cetak  4100000.00  Cetak Blangko 4100000.00 Blangko BKU 300000.00 Amplop Kop Dinas 1400000.00 Blangko BKP (NCR) 1500000.00 Blangko Disposisi 900000.00,,
2.02.2.02.01.01.11.5.2.2.06.02. ,Belanja Penggandaan/Foto copy ,7500000,Belanja Penggandaan/Foto copy  7500000.00  Penggandaan/Fotokopi 7500000.00,,
2.02.2.02.01.01.12. ,PENYEDIAAN KOMPONEN INSTALASI ,3500000, LISTRIK/PENERANGAN BANGUNAN KANTOR,,
2.02.2.02.01.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,3500000,,,
2.02.2.02.01.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,3500000,,,
2.02.2.02.01.01.12.5.2.2.01.03. ,Belanja alat listrik dan elektronika (lampu pijar^ ,3500000,Belanja alat listrik dan elektronika (lampu pijar. batery keri  3500000.00  batery keri,, Alat listrik Dinas 3000000.00 Alat listrik UPTD BPTHP 500000.00
2.02.2.02.01.01.13. ,PENYEDIAAN PERALATAN DAN ,79680400, PERLENGKAPAN KANTOR,,
2.02.2.02.01.01.13.5.2.1. ,BELANJA PEGAWAI ,500000,,,
2.02.2.02.01.01.13.5.2.1.01. ,Honorarium PNS ,500000,,,
2.02.2.02.01.01.13.5.2.1.01.02. ,Honorarium Panitia Pengadaan Barang dan Jasa ,500000,Honorarium Panitia Pengadaan Barang dan Jasa  500000.00  Pejabat Pengadaan 250000.00 Pejabat Penerima 250000.00,,
