Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.01.01,,
Organisasi,Dinas Pendidikan Dasar,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.01 . 1.01.01 . 00 . 00 . 5,BELANJA,573082029200,
1.01 . 1.01.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,519652624000,
1.01 . 1.01.01 . 00 . 00,Non Kegiatan,519652624000,Sumber Dana : 
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,519652624000,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01,Belanja Gaji dan Tunjangan,316254998000,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01,Gaji Pokok PNS/Uang Representasi,250510373620," Gaji Pokok PNSGaji Pokok1 th x 250.510.373.620,00 = 250.510.373.620,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02,Tunjangan Keluarga,21130190068," Tunjangan Keluarga1 th x 21.130.190.068,00 = 21.130.190.068,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03,Tunjangan Jabatan,360607000," Tunjangan Jabatan1 th x 360.607.000,00 = 360.607.000,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,23546692000," Tunjangan Fungsional1 th x 23.546.692.000,00 = 23.546.692.000,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,903564025," Tunjangan Fungsional Umum1 th x 903.564.025,00 = 903.564.025,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06,Tunjangan Beras,11829840620," Tunjangan Beras1 th x 11.829.840.620,00 = 11.829.840.620,00"
