Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.06.01,,
Nama Organisasi,Badan Perencanaan Pembangunan Daerah,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.06 . 1.06.01 . 00 . 00 . 5 ,BELANJA ,11392124300,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,3391707300,
1.06 . 1.06.01 . 00 . 00 ,Non Kegiatan ,3391707300,Sumber Dana : 
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,3391707300,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,3391707300,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,2609508540,"Gaji Pokok1 th x 2.609.508.540,00 = 2.609.508.540,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,253094408,"Tunjangan Keluarga1 th x 253.094.408,00 = 253.094.408,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,250542600,"Tunjangan Jabatan1 th x 250.542.600,00 = 250.542.600,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,10710000,"Tunjangan Fungsional1 th x 10.710.000,00 = 10.710.000,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,78682800,"Tunjganan Fungsional Umum1 th x 78.682.800,00 = 78.682.800,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,152685980,"Tunjangan Beras1 th x 152.685.980,00 = 152.685.980,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,36448843,"Tunjjangan PPh/Tunjangan Khusus1 th x 36.448.843,00 = 36.448.843,00"
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,34129,"Pembulatan Gaji1 th x 34.129,00 = 34.129,00"
1.06 . 1.06.01 . 01 . 01 . 5 . 2 ,BELANJA LANGSUNG ,8000417000,
1.06 . 1.06.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,1280000000,
1.06 . 1.06.01 . 01 . 01 ,Penyediaan jasa surat menyurat ,1000000,"Sumber Dana : _x000D_
Lokasi Kegiatan : Bappeda_x000D_
Keluaran : Terkirimnya dokumen_x000D_
Target: 10 kali"
1.06 . 1.06.01 . 01 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1000000,
1.06 . 1.06.01 . 01 . 01 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1000000,
1.06 . 1.06.01 . 01 . 01 . 5 . 2 . 2 . 03 . 07 ,Belanja Paket/Pengiriman ,1000000,"Belanja Pengiriman Dokumen lewat Pos/TIKI1 tahun x 1.000.000,00 = 1.000.000,00"
