Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,"Badan Kesejahteraan Keluarga, Pemberdayaan Perempuan dan Keluarga Berencana",,
Organisasi,1.12.01,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.12 . 1.12.01 . 00 . 00 . 5  , BELANJA  ,11211596700,
1.12 . 1.12.01 . 00 . 00 . 5 . 1  , BELANJA TIDAK LANGSUNG  ,6155355000,
1.12 . 1.12.01 . 00 . 00  , Non Kegiatan  ,6155355000, Sumber Dana : 
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1  , Belanja Pegawai  ,6155355000,
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01  , Belanja Gaji dan Tunjangan  ,6155355000,
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01  , Gaji Pokok PNS/Uang Representasi  ,4678164500," Gaji Pokok PNSGaji Pokok1 th x 4.678.164.500,00 = 4.678.164.500,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02  , Tunjangan Keluarga  ,458521024," Tunjangan Keluarga1 th x 458.521.024,00 = 458.521.024,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03  , Tunjangan Jabatan  ,192296000," Tunjangan Jabatan1 th x 192.296.000,00 = 192.296.000,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04  , Tunjangan Fungsional  ,353975000," Tunjangan Fungsional1 th x 353.975.000,00 = 353.975.000,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05  , Tunjangan Fungsional Umum  ,90284025," Tunjangan Fungsional Umum1 th x 90.284.025,00 = 90.284.025,00"
1.12 . 1.12.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06  , Tunjangan Beras  ,232086500," Tunjangan Beras1 th x 232.086.500,00 = 232.086.500,00"
