Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.03.01,,,,,
Nama Organisasi,Dinas Pekerjaan Umum,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.03 . 1.03.01 . 00.00 . 4 ,PENDAPATAN ,602995000.00,982495000.00,379500000.00,62.94,
1.03 . 1.03.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,602995000.00,982495000.00,379500000.00,62.94,
1.03 . 1.03.01 . 00.00 . 4.1.2 ,Hasil Retribusi Daerah ,594355000.00,973855000.00,379500000.00,63.85,
1.03 . 1.03.01 . 00.00 . 4.1.2.01 ,Retribusi Jasa Umum ,16200000.00,16200000.00,0.00,0.00,
1.03 . 1.03.01 . 00.00 . 4.1.2.01.02 ,Retribusi Pelayanan Persampahan/Kebersihan ,16200000.00,16200000.00,0.00,0.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 5 Tahun 2012 tentang Retribusi Pelayanan Persampahan/Kebersihan, Lembaran Daerah Kabupaten Kulon Progo  Tahun 2012 Nomor 5"
1.03 . 1.03.01 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,353155000.00,357655000.00,4500000.00,1.27,
1.03 . 1.03.01 . 00.00 . 4.1.2.02.01 ,Retribusi Pemakaian Kekayaan Daerah ,353155000.00,357655000.00,4500000.00,1.27,"Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C"
1.03 . 1.03.01 . 00.00 . 4.1.2.03 ,Retribusi Perizinan Tertentu ,225000000.00,600000000.00,375000000.00,166.67,
1.03 . 1.03.01 . 00.00 . 4.1.2.03.01 ,Retribusi Izin Mendirikan Bangunan ,225000000.00,600000000.00,375000000.00,166.67,"Peraturan Daerah Kabupatan Kulon Progo Nomor 15 Tahun 2011 tentang Retribusi Izin Mendirikan Bangunan, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 6 Seri C"
1.03 . 1.03.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,8640000.00,8640000.00,0.00,0.00,
1.03 . 1.03.01 . 00.00 . 4.1.4.01 ,Hasil Penjualan Aset Daerah yang Tidak Dipisahkan ,8640000.00,8640000.00,0.00,0.00,
1.03 . 1.03.01 . 00.00 . 4.1.4.01.07 ,Penjualan Drum Bekas ,8640000.00,8640000.00,0.00,0.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 13 Tahun 1990 tentang Uang Pengganti Drum Aspal Bekas, Lembaran Daerah Kabupaten Kulon Progo Tahun 1991 Nomor 2 Seri D"
1.03 . 1.03.01 . 00.00 . 5 ,BELANJA ,140000400119.00,150415209926.00,10414809807.00,7.44,
1.03 . 1.03.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,6368414812.00,6304767100.00,-63647712.00,-1.00,
1.03 . 1.03.01 . 00.00 ,Non Kegiatan ,6368414812.00,6304767100.00,-63647712.00,-1.00,Sumber Dana : 
1.03 . 1.03.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,6368414812.00,6304767100.00,-63647712.00,-1.00,
1.03 . 1.03.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,6338697062.00,6256074350.00,-82622712.00,-1.30,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,4918105357.00,4792205782.00,-125899575.00,-2.56,Gaji Pokok PNS
1.03 . 1.03.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,523314905.00,518255545.00,-5059360.00,-0.97,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,220545000.00,207050000.00,-13495000.00,-6.12,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,262386728.00,262910263.00,523535.00,0.20,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,344217667.00,379632780.00,35415113.00,10.29,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,70041986.00,95910556.00,25868570.00,36.93,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,85419.00,109424.00,24005.00,28.10,
1.03 . 1.03.01 . 00.00 . 5.1.1.05 ,Belanja Insentif Pemungutan Pajak/Retribusi Daerah,29717750.00,48692750.00,18975000.00,63.85,
1.03 . 1.03.01 . 00.00 . 5.1.1.05.01 ,Belanja Pemungutan Pajak/Retribusi ,29717750.00,48692750.00,18975000.00,63.85,
1.03 . 1.03.01 . 01.02 . 5.2 ,BELANJA LANGSUNG ,133631985307.00,144110442826.00,10478457519.00,7.84,
1.03 . 1.03.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,339126450.00,383907450.00,44781000.00,13.20,
1.03 . 1.03.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",105462000.00,147996000.00,42534000.00,40.33,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Kulon Progo "
1.03 . 1.03.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,105462000.00,147996000.00,42534000.00,40.33,
1.03 . 1.03.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,105462000.00,147996000.00,42534000.00,40.33,
