Judul,Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Gunungkidul,,
tahun ,2014,,
Kode Organisasi,1.19,,
Nama Organisasi,Badan Penanggulangan Bencana Daerah,,
Kolom,4,,
Kode Rekening,URAIAN,jumlah,Penjelasan
1.19.1.19.02.00.00.5. ,BELANJA DAERAH ,2237392547.08,
1.19.1.19.02.00.00.5.1. ,BELANJA TIDAK LANGSUNG ,960461047.08,
1.19.1.19.02.00.00.5.1.1. ,BELANJA PEGAWAI ,960461047.08,
1.19.1.19.02.00.00.5.1.1.01. ,Gaji dan Tunjangan ,960461047.08,
1.19.1.19.02.00.00.5.1.1.01.01. ,Gaji Pokok ,718126344,Gaji Pokok 718126344.00 Golongan IV (1 orang) 54785484.00 Golongan III (9 orang) 393197220.00 Golongan II (8 orang) 242764236.00 Golongan I (1 orang) 27379404.00
1.19.1.19.02.00.00.5.1.1.01.02. ,Tunjangan Keluarga ,90381124.08,Tunjangan Keluarga 90381124.08 Istri/Suami (18 orang) 68711619.60 Anak (29 orang) 21669504.48
1.19.1.19.02.00.00.5.1.1.01.03. ,Tunjangan Jabatan ,57850000,Tunjangan Jabatan 57850000.00 Eselon III A (1 orang) 16380000.00 Eselon IV A (5 orang) 35100000.00 Eselon IV B (1 orang) 6370000.00
1.19.1.19.02.00.00.5.1.1.01.05. ,Tunjangan Fungsional Umum ,28210000,Tunjangan Fungsional Umum 28210000.00 Golongan III (3 orang) 7215000.00 Golongan II (8 orang) 18720000.00 Golongan I (1 orang) 2275000.00
1.19.1.19.02.00.00.5.1.1.01.06. ,Tunjangan Beras ,55249920,Tunjangan Beras 55249920.00 Tunjangan Beras (66 jiwa) X 10kg X 12 bulan X Rp6976.- 55249920.00
1.19.1.19.02.00.00.5.1.1.01.07. ,Tunjangan PPh/Tunjangan Khusus ,10632076,Tunjangan PPh/Tunjangan Khusus 10632076.00 Tunjangan PPH/Tunjangan Khusus 10632076.00
1.19.1.19.02.00.00.5.1.1.01.08. ,Pembulatan Gaji ,11583,Pembulatan Gaji 11583.00 Pembulatan gaji 11583.00
1.19.1.19.02.00.00.5.2. ,BELANJA LANGSUNG ,1276931500,
1.19.1.19.02.01. ,PROGRAM PELAYANAN ADMINISTRASI ,186854000, PERKANTORAN
1.19.1.19.02.01.01. ,PENYEDIAAN JASA SURAT MENYURAT ,1500000,
1.19.1.19.02.01.01.5.2.2. ,BELANJA BARANG DAN JASA ,1500000,
1.19.1.19.02.01.01.5.2.2.01. ,Belanja Bahan Pakai Habis ,1500000,
1.19.1.19.02.01.01.5.2.2.01.04. ,Belanja perangko^ meterai^ dan benda pos lainnya ,1500000,Belanja perangko. meterai. dan benda pos lainnya 1500000.00 Belanja meterai. perangko. benda pos dan jasa pos lainnya 1500000.00
1.19.1.19.02.01.02. ,PENYEDIAAN JASA KOMUNIKASI^SUMBER ,22400000, DAYA AIR DAN LISTRIK
1.19.1.19.02.01.02.5.2.2. ,BELANJA BARANG DAN JASA ,22400000,
1.19.1.19.02.01.02.5.2.2.03. ,Belanja Jasa Kantor ,22400000,
1.19.1.19.02.01.02.5.2.2.03.01. ,Belanja telephon ,6000000,Belanja telephon 6000000.00 Belanja Telepon kantor BPBD 6000000.00
1.19.1.19.02.01.02.5.2.2.03.02. ,Belanja air ,3600000,Belanja air 3600000.00 Belanja air UPT PBK 3600000.00
1.19.1.19.02.01.02.5.2.2.03.03. ,Belanja listrik ,7800000,Belanja listrik 7800000.00 Biaya Listrik UPT PBK 2400000.00 Biaya listrik Repiter PB 3 Lokasi 5400000.00
1.19.1.19.02.01.02.5.2.2.03.21. ,Belanja frekuensi gelombang radio ,5000000,Belanja frekuensi gelombang radio 5000000.00 Belanja ijin gelombang frekwensi repiter 5000000.00
1.19.1.19.02.01.06. ,PENYEDIAAN JASA PEMELIHARAAN DAN ,15202000, PERIZINAN KENDARAAN DINAS/OPERASIONAL
1.19.1.19.02.01.06.5.2.2. ,BELANJA BARANG DAN JASA ,15202000,
1.19.1.19.02.01.06.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,15202000,
1.19.1.19.02.01.06.5.2.2.05.05. ,Belanja Surat Tanda Nomor Kendaraan ,15202000,Belanja Surat Tanda Nomor Kendaraan 15202000.00 Biaya perijinan dan STNK Kendaraan Dinas roda 4 tangki air 3000000.00 Biaya STNK kendaraan roda 4 Ambulan 700000.00 Biaya STNK kendaraan dinas roda 4 Avanza AB 46 D 700000.00 Biaya perijinan dan STNK Kendaraan Dinas Roda 4 Dimex AB 8110 CD 2000000.00 Biaya STNK kendaraan dinas Roda 4 toyota kijang AB 1655 DD 700000.00 Biaya STNK Kendaraan dinas roda 4 Mitshubishi Ranger 3000000.00 Biaya STNK Kendaraan Dinas roda 2 10 unit 2500000.00 Biaya STNK Kendaraan Damkar UPT PBK (8450) 815000.00 Biaya STNK Kendaraan Damkar UPT PBK (8305) 500000.00 Biaya STNK Kendaraan Damkar UPT PBK (9098) 1287000.00
1.19.1.19.02.01.07. ,PENYEDIAAN JASA ADMINISTRASI ,15600000, KEUANGAN
1.19.1.19.02.01.07.5.2.1. ,BELANJA PEGAWAI ,15600000,
1.19.1.19.02.01.07.5.2.1.01. ,Honorarium PNS ,15600000,
1.19.1.19.02.01.07.5.2.1.01.03. ,Honorarium Bendahara^ Pembantu Bendaraha ,15600000,Honorarium Bendahara. Pembantu Bendaraha 15600000.00 Honorarium Bendahara Pengeluaran 2400000.00 Honorarium Pembantu Bendahara Pengeluaran 1800000.00 Honorarium PPK 2700000.00 Honorarium Pembatu PPK 2100000.00 Honorarium pengurus barang 2400000.00 Honorarium penyimpan barang 2400000.00 Honorarium pengurus barang pembantu 1800000.00
1.19.1.19.02.01.09. ,PENYEDIAAN JASA PERBAIKAN PERALATAN ,14900000, KERJA
1.19.1.19.02.01.09.5.2.2. ,BELANJA BARANG DAN JASA ,14900000,
1.19.1.19.02.01.09.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,14900000, kantor
1.19.1.19.02.01.09.5.2.2.18.01. ,Belanja pemeliharaan perlatan kantor ,6500000,Belanja pemeliharaan perlatan kantor 6500000.00 Belanja pemeliharaan/perbaikan peralatan kantor (komputer. printer. mesin ketik. laptop dan lain-lain) 6000000.00 Belanja pemeliharaan/perbaikan peralatan kantor UPT PBK (komputer. printer. mesin ketik. dan lain-lain) 500000.00
1.19.1.19.02.01.09.5.2.2.18.02. ,Belanja pemeliharaan perlengkapan kantor ,8400000,Belanja pemeliharaan perlengkapan kantor 8400000.00 Belanja pemeliharaan/perbaikan HT/Rig dan Repiter 4000000.00 Belanja Pemeliharaan/Perbaikan peralatan SAR 2000000.00 Belanja Pemeliharaan/Perbaikan Chain Saw 2400000.00
1.19.1.19.02.01.10. ,PENYEDIAAN ALAT TULIS KANTOR ,8750000,
1.19.1.19.02.01.10.5.2.2. ,BELANJA BARANG DAN JASA ,8750000,
1.19.1.19.02.01.10.5.2.2.01. ,Belanja Bahan Pakai Habis ,8750000,
1.19.1.19.02.01.10.5.2.2.01.01. ,Belanja alat tulis kantor ,8750000,Belanja alat tulis kantor 8750000.00 Belanja Alat tulis kantor 8000000.00 Belanja ATK UPT PBK 750000.00
1.19.1.19.02.01.11. ,PENYEDIAAN BARANG CETAKAN DAN ,9600000, PENGGANDAAN
1.19.1.19.02.01.11.5.2.2. ,BELANJA BARANG DAN JASA ,9600000,
1.19.1.19.02.01.11.5.2.2.06. ,Belanja Cetak dan Penggandaan ,9600000,
1.19.1.19.02.01.11.5.2.2.06.01. ,Belanja Cetak ,4000000,Belanja Cetak 4000000.00 Belanja barang cetakan 4000000.00
1.19.1.19.02.01.11.5.2.2.06.02. ,Belanja Penggandaan/Foto copy ,5600000,Belanja Penggandaan/Foto copy 5600000.00 Belanja penggandaan/foto copy dan penjilidan 5000000.00 Belanja penggandaan/foto copy dan penjilidan UPT PBK 600000.00
1.19.1.19.02.01.12. ,PENYEDIAAN KOMPONEN INSTALASI ,1500000, LISTRIK/PENERANGAN BANGUNAN KANTOR
1.19.1.19.02.01.12.5.2.2. ,BELANJA BARANG DAN JASA ,1500000,
1.19.1.19.02.01.12.5.2.2.01. ,Belanja Bahan Pakai Habis ,1500000,
1.19.1.19.02.01.12.5.2.2.01.03. ,Belanja alat listrik dan elektronika (lampu pijar^ ,1500000,Belanja alat listrik dan elektronika (lampu pijar. batery keri 1500000.00 batery keriBelanja alat listrik. lampu. kabel. baterai dan lainnya 1500000.00 
1.19.1.19.02.01.13. ,PENYEDIAAN PERALATAN DAN ,24979500, PERLENGKAPAN KANTOR
1.19.1.19.02.01.13.5.2.3. ,BELANJA  MODAL ,24979500,
1.19.1.19.02.01.13.5.2.3.12. ,Belanja Modal Pengadaan Komputer ,14055000,
1.19.1.19.02.01.13.5.2.3.12.02. ,Belanja modal pengadaan komputer /PC ,12135000,Belanja modal pengadaan komputer /PC 12135000.00 Belanja Modal Pengadaan PC/Komputer (1 BPBD dan 1 UPT PBK) 12000000.00 Honor Pejabat Pengadaan belanja modal Komputer/PC 67500.00 Honor Pejabat Penerima Pengadaan belanja modal Komputer/PC 67500.00
1.19.1.19.02.01.13.5.2.3.12.03. ,Belanja modal pengadaan printer ,910000,Belanja modal pengadaan printer 910000.00 Belanja modal pengadaan printer (UPT PBK) 900000.00 Honor pejabat pengadaan belanja printer 5000.00 Honor pejabat penerima pengadaan belanja printer 5000.00
