Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.20.26 ,,,,,
Organisasi,Dinas Pasar,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.20 . 1.20.26 . 00.00 . 4 ,PENDAPATAN ,2327678400,2359176900,31498500,1.35,
1.20 . 1.20.26 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,2327678400,2359176900,31498500,1.35,
1.20 . 1.20.26 . 00.00 . 4.1.2 ,Retribusi Daerah ,2117678400,2222736900,105058500,4.96,
1.20 . 1.20.26 . 00.00 . 4.1.2.01 ,Retribusi Jasa Umum ,2117678400,2222736900,105058500,4.96,
1.20 . 1.20.26 . 00.00 . 4.1.2.01.02 ,Retribusi Pelayanan Persampahan/Kebersihan ,190004400,195000000,4995600,2.63,"Berdasarkan: Perda Kab. Bantul No. 09 Thn 2011
Sampah pasar1 th x 195.000.000,00 = 195.000.000,00"
1.20 . 1.20.26 . 00.00 . 4.1.2.01.06 ,Retribusi Pelayanan Pasar ,1927674000,2027736900,100062900,5.19,"Berdasarkan: Perda Kab. Bantul No. 09 Thn 2011
Retribusi pelayanan pasar1 th x 2.027.736.900,00 = 2.027.736.900,00"
1.20 . 1.20.26 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,210000000,136440000,-73560000,-35.03,
1.20 . 1.20.26 . 00.00 . 4.1.4.14 ,Hasil Penerimaan Dana Bergulir ,200000000,121440000,-78560000,-39.28,
1.20 . 1.20.26 . 00.00 . 4.1.4.14.01 ,Hasil Pengelolaan Dana Bergulir dari Masyarakat ,200000000,121440000,-78560000,-39.28,"Berdasarkan: Perda Kab. Bantul No. 7 Thn 2012
 TentPenerimaan jasa/bunga dana bergulir Pasar1 th x 121.440.000,00 = 121.440.000,00"
1.20 . 1.20.26 . 00.00 . 4.1.4.18 ,Pendapatan Sewa Gedung ,10000000,15000000,5000000,50,
1.20 . 1.20.26 . 00.00 . 4.1.4.18.01 ,Sewa Gedung ,10000000,15000000,5000000,50,"Perda No 30 th 2008 
tentang Pengelolaan Barang milPartisipasi pembangunan kios pasar1 th x 15.000.000,00 = 15.000.000,00"
1.20 . 1.20.26 . 00.00 . 5 ,BELANJA ,12253545000,12311135000,57590000,0.47,
1.20 . 1.20.26 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,4624921000,4607511000,-17410000,-0.38,
1.20 . 1.20.26 . 00.00 ,Non Kegiatan ,4624921000,4607511000,-17410000,-0.38,Sumber Dana : 
1.20 . 1.20.26 . 00.00 . 5.1.1 ,Belanja Pegawai ,4624921000,4607511000,-17410000,-0.38,
1.20 . 1.20.26 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,4624921000,4607511000,-17410000,-0.38,
1.20 . 1.20.26 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,3561878499,3586741700,24863201,0.7,"Gaji Pokok1 th x 3.586.741.700,00 = 3.586.741.700,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,381101400,385725914,4624514,1.21,"Tunjangan Keluarga1 th x 385.725.914,00 = 385.725.914,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,49128000,46512000,-2616000,-5.32,"Tunjangan jabatan1 th x 46.512.000,00 = 46.512.000,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,0,0,0,0,"Tunjangan Fungsional1 th x 0,00 = 0,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,254436000,238127000,-16309000,-6.41,"Tunjangan Fungsional Umum1 th x 238.127.000,00 = 238.127.000,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,329862520,286560130,-43302390,-13.13,"Tunjangan Beras1 th x 286.560.130,00 = 286.560.130,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,48388421,63770026,15381605,31.79,"Tunjangan PPh/Tunjangan Khusus1 th x 63.770.026,00 = 63.770.026,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,126160,74230,-51930,-41.16,"Pembulatan Gaji1 th x 74.230,00 = 74.230,00"
1.20 . 1.20.26 . 00.00 . 5.1.1.01.09 ,Iuran Asuransi Kesehatan ,0,0,0,0,"Iuran Asuransi Kesehatan1 th x 0,00 = 0,00"
1.20 . 1.20.26 . 01.01 . 5.2 ,BELANJA LANGSUNG ,7628624000,7703624000,75000000,0.98,
1.20 . 1.20.26 . 01 ,Program Pelayanan Administrasi Perkantoran ,1589194000,1567584000,-21610000,-1.36,
1.20 . 1.20.26 . 01.01 ,Penyediaan Jasa Surat Menyurat ,5649000,7149000,1500000,26.55,"Sumber Dana :
 Lokasi Kegiatan : Kantor Pengelolaan Pasar"
1.20 . 1.20.26 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,5649000,7149000,1500000,26.55,
1.20 . 1.20.26 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,5649000,7149000,1500000,26.55,
