Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.03.01 ,,,,,
Organisasi,Dinas Pekerjaan Umum,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.03 . 1.03.01 . 00.00 . 4 ,PENDAPATAN ,3591883200,3804025600,212142400,5.91,
1.03 . 1.03.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,3591883200,3804025600,212142400,5.91,
1.03 . 1.03.01 . 00.00 . 4.1.2 ,Retribusi Daerah ,1652436400,1964866800,312430400,18.91,
1.03 . 1.03.01 . 00.00 . 4.1.2.01 ,Retribusi Jasa Umum ,419636400,524866800,105230400,25.08,
1.03 . 1.03.01 . 00.00 . 4.1.2.01.02 ,Retribusi Pelayanan Persampahan/Kebersihan ,407576400,512806800,105230400,25.82,"Berdasarkan: Perda Kab. Bantul No. 09 Thn 2011 Retribusi Pelayanan Persampahan/Kebersihan1 ls x 512.806.800,00 = 512.806.800,00"
1.03 . 1.03.01 . 00.00 . 4.1.2.01.12 ,Retribusi Penyediaan dan/atau Penyedotan Kakus ,12060000,12060000,0,0,"Berdasarkan: Perda Kab. Bantul No. 09 Thn 2011 Retribusi Penyedotan Kakus1 ls x 12.060.000,00 = 12.060.000,00"
1.03 . 1.03.01 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,32800000,40000000,7200000,21.95,
1.03 . 1.03.01 . 00.00 . 4.1.2.02.01 ,Retribusi Pemakaian Kekayaan Daerah ,32800000,40000000,7200000,21.95,"Berdasarkan: Perda Kab. Bantul No. 07 Thn 2011 Sewa Motor Walls1 ls x 40.000.000,00 = 40.000.000,00"
1.03 . 1.03.01 . 00.00 . 4.1.2.03 ,Retribusi Perizinan Tertentu ,1200000000,1400000000,200000000,16.67,
1.03 . 1.03.01 . 00.00 . 4.1.2.03.01 ,Retribusi Izin Mendirikan Bangunan ,1200000000,1400000000,200000000,16.67,"Berdasarkan: Perda Kab. Bantul No. 08 Thn 2011 Retribusi IMB1 ls x 1.400.000.000,00 = 1.400.000.000,00"
1.03 . 1.03.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,1939446800,1839158800,-100288000,-5.17,
1.03 . 1.03.01 . 00.00 . 4.1.4.01 ,Hasil Penjualan Aset Daerah yang Tidak Dipisahkan ,3168000,0,-3168000,-100,
1.03 . 1.03.01 . 00.00 . 4.1.4.01.07 ,Penjualan Drum Bekas ,3168000,0,-3168000,-100,"Perda No 30 th 2008 tentang Pengelolaan Barang milPenjualan Drum Bekas1 ls x 0,00 = 0,00"
1.03 . 1.03.01 . 00.00 . 4.1.4.11 ,Fasilitas Sosial dan Fasilitas Umum ,936278800,814158800,-122120000,-13.04,
1.03 . 1.03.01 . 00.00 . 4.1.4.11.01 ,Fasilitas Sosial ,833278800,704158800,-129120000,-15.5,"Perda No 30 th 2008 tentang Pengelolaan Barang milIuran Listrik, Air1 ls x 141.778.800,00 = 141.778.800,00 Sewa Rusunawa Sewon1 ls x 531.600.000,00 = 531.600.000,00 IPAL (Rusunawa dan Umum)1 ls x 30.780.000,00 = 30.780.000,00"
1.03 . 1.03.01 . 00.00 . 4.1.4.11.02 ,Fasilitas Umum ,103000000,110000000,7000000,6.8,"Perda No 30 th 2008 tentang Pengelolaan Barang mil Sewa Gor1 th x 110.000.000,00 = 110.000.000,00"
1.03 . 1.03.01 . 00.00 . 4.1.4.16 ,"Pendapatan dari sewa tanah,bangunan dan peralatan AMP",1000000000,1025000000,25000000,2.5,
1.03 . 1.03.01 . 00.00 . 4.1.4.16.01 ,"Pendapatan dari sewa tanah,bangunan dan peralatan AM ",1000000000,1025000000,25000000,2.5,"Perda No 30 th 2008 tentang Pengelolaan Barang mil Pendapatan dari sewa tanah,bangunan dan peralatan AMP1 th x 1.025.000.000,00 = 1.025.000.000,00"
1.03 . 1.03.01 . 00.00 . 5 ,BELANJA ,169425878900,202978612900,33552734000,19.8,
1.03 . 1.03.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,8647249000,9452596000,805347000,9.31,
1.03 . 1.03.01 . 00.00 ,Non Kegiatan ,8647249000,9452596000,805347000,9.31,Sumber Dana : 
1.03 . 1.03.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,8647249000,9452596000,805347000,9.31,
1.03 . 1.03.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,8647249000,9452596000,805347000,9.31,
1.03 . 1.03.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,6528627093,7289036200,760409107,11.65,"Gaji Pokok PNS1 th x 7.289.036.200,00 = 7.289.036.200,00"
1.03 . 1.03.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,763668402,850937274,87268872,11.43,"Tunjangan Keluarga1 th x 850.937.274,00 = 850.937.274,00"
1.03 . 1.03.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,201325000,192224000,-9101000,-4.52,"Tunjangan Jabatan1 th x 192.224.000,00 = 192.224.000,00"
1.03 . 1.03.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,5028000,4898000,-130000,-2.59,"Tunjangan Fungsional1 th x 4.898.000,00 = 4.898.000,00"
