Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulonprogo,,,,,
Tahun,2015,,,,,
Kode Organisasi,1.06.01,,,,,
Nama Organisasi,Badan Perencanaan Pembangunan Daerah,,,,,
Kolom,4,,,,,
No. Rekening,Uraian,Jumlah,Keterangan,,,
1.06 . 1.06.01 . 00 . 00 . 5 ,BELANJA ,6329674174,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,2908504457,,,,
1.06 . 1.06.01 . 00 . 00 ,Non Kegiatan ,2908504457,Sumber Dana : ,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,2908504457,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,2908504457,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,2264186577,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,181869061,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,211705000,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,72902375,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,115539302,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,62266151,,,,
1.06 . 1.06.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,35991,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,3421169717,,,,
1.06 . 1.06.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,226810000,,,,
1.06 . 1.06.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,47580000,Sumber Dana :  Lokasi Kegiatan : Kabupaten  Kulon Progo,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,17580000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,17580000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,17580000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,30000000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,14589850,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,13899850,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko  Materai Dan Benda Pos Lainnya ",690000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,2310000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,1500000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 03 . 07 ,Belanja Paket/Pengiriman ,810000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,13100150,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,6671000,,,,
1.06 . 1.06.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,6429150,,,,
1.06 . 1.06.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,19800000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,19800000,,,,
1.06 . 1.06.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,19800000,,,,
1.06 . 1.06.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,19800000,,,,
1.06 . 1.06.01 . 01 . 28 ,"Penyediaan Rapat-Rapat   Konsultasi dan Koordinasi ",159430000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,159430000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,35000000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,27000000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,8000000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,124430000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2500000,,,,
1.06 . 1.06.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,121930000,,,,
1.06 . 1.06.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,354590000,,,,
