Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
Daerah,Kabupaten Kulonprogo,,,
Tahun,2015,,,
Kode Organisasi,1.21.01,,,
Nama Organisasi,Kantor Pertahanan Pangan dan Penyuluhan Pertanian Kehutanan,,,
Kolom,4,,,
Judul,Uraian,Jumlah,Keterangan,
1.21 . 1.21.01 . 00 . 00 . 4 ,PENDAPATAN ,4000000,,
1.21 . 1.21.01 . 00 . 00 . 4 . 1 ,PENDAPATAN ASLI DAERAH ,4000000,,
1.21 . 1.21.01 . 00 . 00 . 4 . 1 . 4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,4000000,,
1.21 . 1.21.01 . 00 . 00 . 4 . 1 . 4 . 01 ,Hasil Penjualan Aset Daerah yang Tidak Dipisahkan ,4000000,,
1.21 . 1.21.01 . 00 . 00 . 4 . 1 . 4 . 01 . 13 ,Penjualan Hasil Pertanian ,4000000,"Peraturan Daerah Kabupaten Kulon Progo Nomor 3 Tahun 2013 tentang Pengelolaan Barang Milik Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2013 Nomor 3"
1.21 . 1.21.01 . 00 . 00 . 5 ,BELANJA ,9268179259,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,7357039654,,
1.21 . 1.21.01 . 00 . 00 ,Non Kegiatan ,7357039654,Sumber Dana : ,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,7357039654,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,7357039654,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,5135960997,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,519595751,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,44460000,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,1186524625,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,29160950,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,256945613,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,184322549,,
1.21 . 1.21.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,69169,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,1911139605,,
1.21 . 1.21.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,215451100,,
1.21 . 1.21.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,108251100,Sumber Dana : ,
,,,Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,80600000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,80600000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 1 . 02 . 02 ,Honorarium Pegawai Honorer/Tidak Tetap ,4550000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,76050000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,27651100,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,17414900,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,16784900,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko Materai Dan Benda Pos Lainnya ",630000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,840000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,840000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,9396200,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,2686000,,
1.21 . 1.21.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,6710200,,
1.21 . 1.21.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,22200000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,22200000,,
1.21 . 1.21.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,22200000,,
1.21 . 1.21.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,22200000,,
1.21 . 1.21.01 . 01 . 28 ,"Penyediaan Rapat-Rapat  Konsultasi dan Koordinasi ",85000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,85000000,,
1.21 . 1.21.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,37830000,,
