Judul;Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah;;;;;,,,,,,,,,,,,,,,,
Daerah;Kabupaten Bantul;;;;;,,,,,,,,,,,,,,,,
Tahun;2014;;;;;,,,,,,,,,,,,,,,,
Kode Organisasi;1.15.01;;;;;,,,,,,,,,,,,,,,,
Organisasi;Dinas PErindustrian dan Perdagangan;;;;;,,,,,,,,,,,,,,,,
Kolom;7;;;;;,,,,,,,,,,,,,,,,
;;;;;;,,,,,,,,,,,,,,,,
;;;;;;,,,,,,,,,,,,,,,,
No Rekening;Uraian;Sebelum;Sesudah;Angka;Prosentase;Keterangan,,,,,,,,,,,,,,,,
115  11501  0000  5;BELANJA ;14378972075;15848674075;1469702000;1022;,,,,,,,,,,,,,,,,
115  11501  0000  51;BELANJA TIDAK LANGSUNG ;3317708000;3384410000;66702000;201;,,,,,,,,,,,,,,,,
115  11501  0000;Non Kegiatan ;3317708000;3384410000;66702000;201;Sumber Dana : ,,,,,,,,,,,,,,,,
115  11501  0000  511;Belanja Pegawai ;3317708000;3384410000;66702000;201;,,,,,,,,,,,,,,,,
115  11501  0000  51101;Gaji Dan Tunjangan ;3317708000;3384410000;66702000;201;,,,,,,,,,,,,,,,,
115  11501  0000  5110101;Gaji Pokok PNS/Uang Representasi ;2543279380;2612034700;68755320;27;Gaji Pokok 1 th x 2612034700,00 = 2612034700,0,,,,,,,,,,,,,,
115  11501  0000  5110102;Tunjangan Keluarga ;232963345;238479389;5516044;237;Tunjangan Keluarga 1 th x 238479389,00 = 238479389,0,,,,,,,,,,,,,,
115  11501  0000  5110103;Tunjangan Jabatan ;162971000;171572000;8601000;528;Tunjangan jabatan 1 th x 171572000,00 = 171572000,0,,,,,,,,,,,,,,
115  11501  0000  5110104;Tunjangan Fungsional ;0;0;0;0;Tunjangan Fungsional 1 th x 0,00 = 0,0,,,,,,,,,,,,,,
115  11501  0000  5110105;Tunjangan Fungsional Umum ;136200000;127781000;-8419000;-618; Tunjangan Fungsional Umum 1 th x 127781000,00 = 127781000,0,,,,,,,,,,,,,,
115  11501  0000  5110106;Tunjangan Beras ;191501080;167563520;-23937560;-125; Tunjangan Beras 1 th x 167563520,00 = 167563520,0,,,,,,,,,,,,,,
115  11501  0000  5110107;Tunjangan PPh/Tunjangan Khusus ;50699582;66936157;16236575;3203;Tunjangan PPh/Tunjangan Khusus 1 th x 66936157,00 = 66936157,0,,,,,,,,,,,,,,
115  11501  0000  5110108;Pembulatan Gaji ;93613;43234;-50379;-5382; Pembulatan Gaji 1 th x 43234,00 = 43234,0,,,,,,,,,,,,,,
115  11501  0000  5110109;Iuran Asuransi Kesehatan ;0;0;0;0;Iuran Asuransi Kesehatan 1 th x 0,00 = 0,0,,,,,,,,,,,,,,
115  11501  0101  52;BELANJA LANGSUNG ;11061264075;12464264075;1403000000;1268;,,,,,,,,,,,,,,,,
115  11501  01;Program Pelayanan Administrasi Perkantoran ;232015000;299265000;67250000;2899;,,,,,,,,,,,,,,,,
"115  11501  0101;Penyediaan Jasa Surat Menyurat ;900000;1900000;1000000;11111;""Sumber Dana : Dana Alokasi Umum (D A U) ",,,,,,,,,,,,,,,,
"Lokasi Kegiatan : Bantul""",,,,,,,,,,,,,,,,
115  11501  0101  522;Belanja Barang dan Jasa ;900000;1900000;1000000;11111;,,,,,,,,,,,,,,,,
115  11501  0101  52201;Belanja Bahan Pakai Habis ;900000;1900000;1000000;11111;,,,,,,,,,,,,,,,,
115  11501  0101  5220104;Belanja Perangko, Materai Dan Benda Pos Lainnya ;900000;1900000;1000000;11111;belanja perangko, materai dan benda pos lainnya 1 tahun x 1900000,00 = 1900000,0,,,,,,,,,,,,
115  11501  0102;Penyediaan Jasa Komunikasi," Sumber Daya Air dan Listrik ;25000000;30000000;5000000;20;""Sumber Dana : Dana Alokasi Umum (D A U)",,,,,,,,,,,,,,,
" Lokasi Kegiatan : bantul""",,,,,,,,,,,,,,,,
115  11501  0102  522;Belanja Barang dan Jasa ;25000000;30000000;5000000;20;,,,,,,,,,,,,,,,,
115  11501  0102  52203;Belanja Jasa Kantor ;25000000;30000000;5000000;20;,,,,,,,,,,,,,,,,
115  11501  0102  5220301;Belanja Telepon ;12000000;12000000;0;0;belanja telepon 12 bulan x 1000000,00 = 12000000,0,,,,,,,,,,,,,,
115  11501  0102  5220303;Belanja Listrik ;13000000;18000000;5000000;3846;belanja listrik belanja listrik (12 bulan) 1 tahun x 18000000,00 = 18000000,0,,,,,,,,,,,,,,
