Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Kulon Progo,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.19.01,,,,,
Nama Organisasi,Badan Penganggulangan Bencana Daerah,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Selisih,Prosentase,Keterangan
1.19 . 1.19.03 . 00.00 . 5,BELANJA,3707396472.00,3838007764.00,130611292.00,3.52,
1.19 . 1.19.03 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,1182910582.00,1247411814.00,64501232.00,5.45,
1.19 . 1.19.03 . 00.00 ,Non Kegiatan ,1182910582.00,1247411814.00,64501232.00,5.45,Sumber Dana : 
1.19 . 1.19.03 . 00.00 . 5.1.1 ,Belanja Pegawai ,1182910582.00,1247411814.00,64501232.00,5.45,
1.19 . 1.19.03 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,1182910582.00,1247411814.00,64501232.00,5.45,
1.19 . 1.19.03 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,905723450.00,958097524.00,52374074.00,5.78,gaji pokok
1.19 . 1.19.03 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,104315513.00,107273651.00,2958138.00,2.84,tunjangan istri/suami tunjangan anak
1.19 . 1.19.03 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,51480000.00,45160000.00,-6320000.00,-12.28,
1.19 . 1.19.03 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,42982066.00,46514075.00,3532009.00,8.22,
1.19 . 1.19.03 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,63018931.00,68312877.00,5293946.00,8.40,Tunjangan beras
1.19 . 1.19.03 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,15374884.00,22039558.00,6664674.00,43.35,Tunjangan PPh
1.19 . 1.19.03 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,15738.00,14129.00,-1609.00,-10.22,Pembulatan Gaji
1.19 . 1.19.03 . 01.01 . 5.2 ,BELANJA LANGSUNG ,2524485890.00,2590595950.00,66110060.00,2.62,
1.19 . 1.19.03 . 01 ,Program Pelayanan Administrasi Perkantoran ,117607700.00,127024200.00,9416500.00,8.01,
1.19 . 1.19.03 . 01.01 ,Penyediaan Jasa Surat Menyurat ,1020000.00,1020000.00,0.00,0.00,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,1020000.00,1020000.00,0.00,0.00,
1.19 . 1.19.03 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1020000.00,1020000.00,0.00,0.00,
1.19 . 1.19.03 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya",1020000.00,1020000.00,0.00,0.00,
1.19 . 1.19.03 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",16800000.00,25875000.00,9075000.00,54.02,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,16800000.00,25875000.00,9075000.00,54.02,
1.19 . 1.19.03 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,16800000.00,25875000.00,9075000.00,54.02,
1.19 . 1.19.03 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,6000000.00,9075000.00,3075000.00,51.25,Belanja Telepon
1.19 . 1.19.03 . 01.02 . 5.2.2.03.02 ,Belanja Air ,1800000.00,1800000.00,0.00,0.00,Belanja Air
1.19 . 1.19.03 . 01.02 . 5.2.2.03.03 ,Belanja Listrik ,9000000.00,15000000.00,6000000.00,66.67,Belanja Listrik
1.19 . 1.19.03 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,14754000.00,15095500.00,341500.00,2.31,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,14754000.00,15095500.00,341500.00,2.31,
1.19 . 1.19.03 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,14754000.00,15095500.00,341500.00,2.31,
1.19 . 1.19.03 . 01.06 . 5.2.2.05.05 ,Belanja Surat Tanda Nomor Kendaraan ,14754000.00,15095500.00,341500.00,2.31,
1.19 . 1.19.03 . 01.07 ,Penyediaan Jasa Administrasi Keuangan ,12900000.00,12900000.00,0.00,0.00,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01.07 . 5.2.1 ,Belanja Pegawai ,12900000.00,12900000.00,0.00,0.00,
1.19 . 1.19.03 . 01.07 . 5.2.1.01 ,Honorarium PNS ,12900000.00,12900000.00,0.00,0.00,
1.19 . 1.19.03 . 01.07 . 5.2.1.01.04 ,Honorarium Bendahara/Pengurus Barang ,12900000.00,12900000.00,0.00,0.00,
1.19 . 1.19.03 . 01.08 ,Penyediaan Jasa Kebersihan Kantor ,7088400.00,7088400.00,0.00,0.00,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.19 . 1.19.03 . 01.08 . 5.2.1 ,Belanja Pegawai ,5850000.00,5850000.00,0.00,0.00,
1.19 . 1.19.03 . 01.08 . 5.2.1.02 ,Honorarium Non PNS ,5850000.00,5850000.00,0.00,0.00,
1.19 . 1.19.03 . 01.08 . 5.2.1.02.03 ,Honorarium Harian ,5850000.00,5850000.00,0.00,0.00,
