Judul,Penjabaran Perubahan APBD
Daerah,Kabupaten Kulon Progo
Tahun,2014
Kode Organisasi,1.20.03 - Dinas Pendidikan
Kolom,7
,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.20 . 1.20.03 . 00.00 . 4 ,PENDAPATAN ,116600000.00,152599375.00,35999375.00,30.87
1.20 . 1.20.03 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,116600000.00,152599375.00,35999375.00,30.87
1.20 . 1.20.03 . 00.00 . 4.1.2 ,Hasil Retribusi Daerah ,116600000.00,16900000.00,-99700000.00,-85.51
1.20 . 1.20.03 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,116600000.00,16900000.00,-99700000.00,-85.51
"1.20 . 1.20.03 . 00.00 . 4.1.2.02.01 ,Retribusi Pemakaian Kekayaan Daerah ,116600000.00,16900000.00,-99700000.00,-85.51,""Peraturan Daerah Kabupaten Kulon Progo Nomor 10 Tahun 2011 tentang Retribusi Pemakaian Kekayaan Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2011 Nomor 4 Seri C"""
1.20 . 1.20.03 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,0.00,135699375.00,135699375.00,0.00
1.20 . 1.20.03 . 00.00 . 4.1.4.19 ,Pengelolaan Barang Milik Daerah ,0.00,135699375.00,135699375.00,0.00
1.20 . 1.20.03 . 00.00 . 4.1.4.19.01 ,Sewa Tanah Bangunan ,0.00,135699375.00,135699375.00,0.00,Surat Keputusan Gubernur DIY Nomor 195/KEP/2014 tentang Persetujuan Sewa Menyewa Pemanfaatan Tanah Milik Daerah Berupa Tanah Eks Kas Desa Wates Kepada Pemerintah Kabupaten Kulon Progo tanggal 22 Agustus 2014
1.20 . 1.20.03 . 00.00 . 5,BELANJA ,18618021318.00,21047691462.00,2429670144.00,13.05
1.20 . 1.20.03 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,10129981020.00,9972503652.00,-157477368.00,-1.55
1.20 . 1.20.03 . 00.00 ,Non Kegiatan ,10129981020.00,9972503652.00,-157477368.00,-1.55,Sumber Dana : 
1.20 . 1.20.03 . 00.00 . 5.1.1 ,Belanja Pegawai ,10129981020.00,9972503652.00,-157477368.00,-1.55
1.20 . 1.20.03 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,10097751020.00,9938473683.00,-159277337.00,-1.58
1.20 . 1.20.03 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,7752113128.00,7493043881.00,-259069247.00,-3.34,Gaji Pokok
