Judul,Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,2.01.02,,
Nama Dinas,Dinas Pertanian dan Kehutanan,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
2.01 . 2.01.01 . 00 . 00 . 4,PENDAPATAN,31000000.00,
2.01 . 2.01.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,31000000.00,
2.01 . 2.01.01 . 00 . 00 . 4 . 1 . 2,Hasil Retribusi Daerah,31000000.00,"Peraturan Daerah Kabupaten Kulon Progo Nomor 13 Tahun 2012 tentang Retribusi Penjualan Produk Usaha Daerah, Lembaran Daerah Kabupaten Kulon Progo Tahun 2012 Nomor 13"
2.01 . 2.01.01 . 00 . 00 . 5,BELANJA,11720230754.00,
2.01 . 2.01.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,4984449529.00,
2.01 . 2.01.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,4984449529.00,
2.01 . 2.01.01 . 01 . 26 . 5 . 2,BELANJA LANGSUNG,6735781225.00,
2.01 . 2.01.01 . 01,Program Pelayanan Administrasi Perkantoran,141248000.00,
2.01 . 2.01.01 . 01 . 26,Penyediaan Jasa dan Peralatan Perkantoran,37722500.00,
2.01 . 2.01.01 . 01 . 26 . 5 . 2 . 2,Belanja Barang dan Jasa,37722500.00,
2.01 . 2.01.01 . 01 . 27,Penyediaan Jasa  keuangan,24291500.00,
2.01 . 2.01.01 . 01 . 27 . 5 . 2 . 1,Belanja Pegawai,24000000.00,
2.01 . 2.01.01 . 01 . 27 . 5 . 2 . 2,Belanja Barang dan Jasa,291500.00,
2.01 . 2.01.01 . 01 . 28,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi",79234000.00,
2.01 . 2.01.01 . 01 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,79234000.00,
2.01 . 2.01.01 . 11,Program Peningkatan Sarana dan Prasarana Perkantoran,227846000.00,
2.01 . 2.01.01 . 11 . 01,Pengadaan Sarana dan Prasarana Perkantoran,79169000.00,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7500000.00,
2.01 . 2.01.01 . 11 . 01 . 5 . 2 . 3,Belanja Modal,71669000.00,
2.01 . 2.01.01 . 11 . 02,Pemeliharaan Sarana dan Prasarana Perkantoran,148677000.00,
2.01 . 2.01.01 . 11 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,148677000.00,
2.01 . 2.01.01 . 12,"Program Perencanaan, Pengendalian dan Evaluasi Kinerja",42500000.00,
2.01 . 2.01.01 . 12 . 01,Penyusunan Perencanaan Kinerja SKPD,3500000.00,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 1,Belanja Pegawai,460000.00,
2.01 . 2.01.01 . 12 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3040000.00,
2.01 . 2.01.01 . 12 . 02,Penyusunan Laporan Keuangan,5000000.00,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 1,Belanja Pegawai,1544000.00,
2.01 . 2.01.01 . 12 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,3456000.00,
2.01 . 2.01.01 . 12 . 03,"Pengendalian, Evaluasi dan Pelaporan Kinerja",15000000.00,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 1,Belanja Pegawai,1120000.00,
2.01 . 2.01.01 . 12 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,13880000.00,
2.01 . 2.01.01 . 12 . 04,Pengumpulan dan Penyusunan Data Statistik Pertanian dan Kehutanan,19000000.00,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 1,Belanja Pegawai,368000.00,
2.01 . 2.01.01 . 12 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,18632000.00,
2.01 . 2.01.01 . 13,Program Peningkatan Kapasitas Sumber Daya Manusia SKPD,6050000.00,
2.01 . 2.01.01 . 13 . 01,Penilaian Prestasi Kerja Pegawai Fungsional Lewat Angka Kredit,2750000.00,
2.01 . 2.01.01 . 13 . 01 . 5 . 2 . 1,Belanja Pegawai,1320000.00,
