Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2015,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Umum,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,13572000,"   Tunjangan Fungsional1 th x 13.572.000,00 = 13.572.000,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,422325475,"   Tunjangan Fungsional Umum1 th x 422.325.475,00 = 422.325.475,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 06,Tunjangan Beras,588864380,"   Tunjangan Beras1 th x 588.864.380,00 = 588.864.380,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 07,Tunjangan PPh/Tunjangan Khusus,261021450,"   Tunjangan PPh/Tunjangan Khusus1 th x 261.021.450,00 = 261.021.450,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 08,Pembulatan Gaji,144733,"   Pembulatan Gaji1 th x 144.733,00 = 144.733,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 09,Iuran Asuransi Kesehatan,0,"   Iuran Asuransi Kesehatan
Iurang Asuransi Kesehatan BPJS1 th x 0,00 = 0,00
Iuran Asuransi Jaminan Kecelakaan Kerja BPJS1 th x 0,00 = 0,00
Iuran Jaminan Kematian BPJS1 th x 0,00 = 0,00"
1.20 . 1.20.03 . 00 . 00 . 5 . 1 . 1 . 01 . 24,Tunjangan lain-lain,65416000,"   Tunjangan Lain-lain1 thn x 65.416.000,00 = 65.416.000,00"
1.20 . 1.20.03 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,5542856400,
1.20 . 1.20.03 . 01,Program Pelayanan Administrasi Perkantoran,3545522100,
