Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulonprogo,,
Tahun,2015,,
Kode Organisasi,1.14.01,,
Nama Organisasi,Dinas Sosial Tenaga Kerja dan Transmigrasi,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.14 . 1.14.01 . 00 . 00 . 5 ,BELANJA ,8266706326,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 ,BELANJA TIDAK LANGSUNG ,5173615276,
1.14 . 1.14.01 . 00 . 00 ,Non Kegiatan ,5173615276,Sumber Dana : 
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 ,Belanja Pegawai ,5173615276,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 ,Belanja Gaji dan Tunjangan ,5173615276,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01 ,Gaji Pokok PNS/Uang Representasi ,4023977147,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02 ,Tunjangan Keluarga ,398887758,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03 ,Tunjangan Jabatan ,204685000,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04 ,Tunjangan Fungsional ,109731375,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05 ,Tunjangan Fungsional Umum ,101535525,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06 ,Tunjangan Beras ,221133619,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07 ,Tunjangan PPh/Tunjangan Khusus ,113602285,
1.14 . 1.14.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08 ,Pembulatan Gaji ,62567,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 ,BELANJA LANGSUNG ,3093091050,
1.14 . 1.14.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,153798200,
1.14 . 1.14.01 . 01 . 26 ,Penyediaan Jasa dan Peralatan Perkantoran ,65833200,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 1 ,Belanja Pegawai ,23400000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,23400000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,23400000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,42433200,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,23072200,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,21116200,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko  Materai Dan Benda Pos Lainnya ",1956000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,2700000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 03 . 05 ,Belanja Surat Kabar/Majalah ,2700000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,16661000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,2661000,
1.14 . 1.14.01 . 01 . 26 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,14000000,
1.14 . 1.14.01 . 01 . 27 ,Penyediaan Jasa  keuangan ,24990000,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten
1.14 . 1.14.01 . 01 . 27 . 5 . 2 . 1 ,Belanja Pegawai ,24990000,
1.14 . 1.14.01 . 01 . 27 . 5 . 2 . 1 . 01 ,Honorarium PNS ,24990000,
1.14 . 1.14.01 . 01 . 27 . 5 . 2 . 1 . 01 . 04 ,Honorarium Bendahara/Pengurus Barang ,24990000,
1.14 . 1.14.01 . 01 . 28 ,"Penyediaan Rapat-Rapat,  Konsultasi dan Koordinasi ",62975000 Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,62975000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,11520000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,10620000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 11 . 03 ,Belanja Makanan Dan Minuman Tamu ,900000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,51455000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3335000,
1.14 . 1.14.01 . 01 . 28 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,48120000,
1.14 . 1.14.01 . 11 ,Program Peningkatan Sarana dan Prasarana Perkantoran ,480806800,
1.14 . 1.14.01 . 11 . 01 ,Pengadaan Sarana dan Prasarana Perkantoran ,86365000,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten
1.14 . 1.14.01 . 11 . 01 . 5 . 2 . 3 ,Belanja Modal ,86365000,
