Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.20.03,,
Organisasi,Sekretariat Daerah Bagian Kerjasama,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.20 . 1.20.03 . 01 . 01 . 5 , BELANJA,848354500,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 ,  BELANJA LANGSUNG      ,848354500,    
1.20 . 1.20.03 . 01 ,   Program Pelayanan Administrasi Perkantoran     ,98060000,    
1.20 . 1.20.03 . 01 . 01 ,    Penyediaan jasa surat menyurat    ,2700000,"  Sumber Dana : APBD
  Lokasi Kegiatan : Kecamatan Bantul 
 Keluaran : Tersedianya materai
  Target : 575 helai  "
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 ,     Belanja Barang dan Jasa   ,2700000,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 ,      Belanja Bahan Pakai Habis  ,2700000,    
1.20 . 1.20.03 . 01 . 01 . 5 . 2 . 2 . 01 . 04 ,"Belanja Perangko, Materai Dan Benda Pos ",2700000," APBD  
  Belanja materai 6000 dan materai 3000  
Belanja materai 6000 325 lbr x 6.000,00 = 1.950.000,00
Belanja materai 3000 250 lbr x 3.000,00 = 750.000,00"
1.20 . 1.20.03 . 01 . 06 ,    Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional    ,1000000,"  Sumber Dana : APBD 
 Lokasi Kegiatan : Kabupaten Bantul  
Keluaran : Terlaksananya Jasa Pembayaran Pajak Kendaraan Bermotor  
Target : 4 unit  "
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 ,     Belanja Barang dan Jasa   ,1000000,    
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 ,      Belanja Perawatan Kendaraan Bermotor  ,1000000,    
1.20 . 1.20.03 . 01 . 06 . 5 . 2 . 2 . 05 . 05 ,Belanja Pajak Kendaraan Bermotor ,1000000," APBD    
Kendaraan roda empat  Mobil 1 unit x 610.000,00 = 610.000,00
kKendaraan roda dua  Sepeda motor 3 unit x 130.000,00 = 390.000,00"
1.20 . 1.20.03 . 01 . 07 ,    Penyediaan jasa administrasi keuangan    ,11820000,"  Sumber Dana : APBD
  Lokasi Kegiatan : Kab. Bantul  
Keluaran : Terlaksananya Penyediaan Jasa Administrasi Keuangan 
 Target : 7 orang  "
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 ,     Belanja Pegawai   ,10320000,    
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 ,      Honorarium PNS  ,10320000,    
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 1 . 01 . 06 ,Honor Pengelola Keuangan dan Barang ,10320000," APBD    
Honorarium Pengelola Keuangan,barang dan pengurus gaji 
 Honor Bendahara Pengeluaran 12 org bln x 190.000,00 = 2.280.000,00
Honor Pembuat Dokumen 36 org bln x 130.000,00 = 4.680.000,00
Honor Pengurus Gaji Pembantu 12 org bln x 70.000,00 = 840.000,00
Honor Pengurus Barang 12 org bln x 150.000,00 = 1.800.000,00
Honor Penyimpan Barang 12 org bln x 60.000,00 = 720.000,00"
1.20 . 1.20.03 . 01 . 07 . 5 . 2 . 2 ,     Belanja Barang dan Jasa   ,1500000,    
