Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.17.01,,,,,
Organisasi, Dinas Kebudayaan dan Pariwisata,,,,,
Kolom,4,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.17 . 1.17.01 . 00.00 . 4 ,PENDAPATAN ,9000000000,9500000000,500000000,5.56,
1.17 . 1.17.01 . 00.00 . 4.1 ,PENDAPATAN ASLI DAERAH ,9000000000,9500000000,500000000,5.56,
1.17 . 1.17.01 . 00.00 . 4.1.2 ,Retribusi Daerah ,8766054000,9266054000,500000000,5.7,
1.17 . 1.17.01 . 00.00 . 4.1.2.02 ,Retribusi Jasa Usaha ,8766054000,9266054000,500000000,5.7,
1.17 . 1.17.01 . 00.00 . 4.1.2.02.10 ,Retribusi Tempat Rekreasi dan Olahraga ,8766054000,9266054000,500000000,5.7,"Berdasarkan: Perda Kab. Bantul No. 07 Thn 2011
Parangtritis2,158,418 orang x 3.750,00 = 8.094.067.500,00
Samas61,812 orang x 2.750,00 = 169.983.000,00
Pandansimo109,090 orang x 2.750,00 = 299.997.500,00
Kwaru90,908 orang x 2.750,00 = 249.997.000,00
Pantai Gua Cemara83,642 orang x 2.750,00 = 230.015.500,00
Selarong34,544 orang x 2.750,00 = 94.996.000,00
Gua Cerme9,090 orang x 2.750,00 = 24.997.500,00
Tirtotamansari1 th x 102.000.000,00 = 102.000.000,00"
1.17 . 1.17.01 . 00.00 . 4.1.4 ,Lain-lain Pendapatan Asli Daerah yang Sah ,233946000,233946000,0,0,
1.17 . 1.17.01 . 00.00 . 4.1.4.17 ,Premi Asuransi ,233946000,233946000,0,0,
1.17 . 1.17.01 . 00.00 . 4.1.4.17.01 ,Premi Asuransi ,233946000,233946000,0,0,"Berdasarkan: Perjanjian No. 293a/Perj/Bt/2011Premi Asuransi1 th x 233.946.000,00 = 233.946.000,00"
1.17 . 1.17.01 . 00.00 . 5 ,BELANJA ,11366499000,12161572500,795073500,6.99,
1.17 . 1.17.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,4620649000,4566178000,-54471000,-1.18,
1.17 . 1.17.01 . 00.00 ,Non Kegiatan ,4620649000,4566178000,-54471000,-1.18,Sumber Dana : 
1.17 . 1.17.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,4620649000,4566178000,-54471000,-1.18,
1.17 . 1.17.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,4620649000,4566178000,-54471000,-1.18,
1.17 . 1.17.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,3588736200,3562213400,-26522800,-0.74,"Gaji Pokok1 th x 3.562.213.400,00 = 3.562.213.400,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,325445886,325369922,-75964,-0.02,"Tunjangan Keluarga1 th x 325.369.922,00 = 325.369.922,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,145158000,150604000,5446000,3.75,"Tunjangan jabatan1 th x 150.604.000,00 = 150.604.000,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,0,0,0,0,"Tunjangan Fungsional1 th x 0,00 = 0,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,230874000,215888000,-14986000,-6.49,"Tunjangan Fungsional Umum1 th x 215.888.000,00 = 215.888.000,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,274724640,242374140,-32350500,-11.78,"Tunjangan Beras1 th x 242.374.140,00 = 242.374.140,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,55590728,69663731,14073003,25.32,"Tunjangan PPh/Tunjangan Khusus1 th x 69.663.731,00 = 69.663.731,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,119546,64807,-54739,-45.79,"Pembulatan Gaji1 th x 64.807,00 = 64.807,00"
1.17 . 1.17.01 . 00.00 . 5.1.1.01.09 ,Iuran Asuransi Kesehatan ,0,0,0,0,"Iuran Asuransi Kesehatan1 th x 0,00 = 0,00"
1.17 . 1.17.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,6745850000,7595394500,849544500,12.59,
1.17 . 1.17.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,1035235700,1040232200,4996500,0.48,
1.17 . 1.17.01 . 01.01 ,Penyediaan Jasa Surat Menyurat ,3000000,3000000,0,0,"Sumber Dana :
 Lokasi Kegiatan : Dinas Kebudayaan dan Pariwisata"
1.17 . 1.17.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,3000000,3000000,0,0,
1.17 . 1.17.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3000000,3000000,0,0,
1.17 . 1.17.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",3000000,3000000,0,0,"Belanja perangko, materai dan benda pos lainnya
Perangko600 buah x 2.000,00 = 1.200.000,00
Materai150 buah x 6.000,00 = 900.000,00
Materai300 buah x 3.000,00 = 900.000,00"
