Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Bantul,,,,,
Tahun,2014,,,,,
Kode Organisasi,1.22.01,,,,,
Organisasi,Kantor PMD,,,,,
Kolom,7,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan
1.22 . 1.22.01 . 00.00 . 5 ,BELANJA ,9408651820.00,10143834942.00,735183122.00,7.81,
1.22 . 1.22.01 . 00.00 . 5.1 ,BELANJA TIDAK LANGSUNG ,1686666000.00,1639082000.00,-47584000.00,-2.82,
1.22 . 1.22.01 . 00.00 ,Non Kegiatan ,1686666000.00,1639082000.00,-47584000.00,-2.82,Sumber Dana : 
1.22 . 1.22.01 . 00.00 . 5.1.1 ,Belanja Pegawai ,1686666000.00,1639082000.00,-47584000.00,-2.82,
1.22 . 1.22.01 . 00.00 . 5.1.1.01 ,Gaji Dan Tunjangan ,1686666000.00,1639082000.00,-47584000.00,-2.82,
1.22 . 1.22.01 . 00.00 . 5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi ,1335863000.00,1301546700.00,-34316300.00,-2.57,"Gaji Pokok1 th x 1.301.546.700,00 = 1.301.546.700,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.02 ,Tunjangan Keluarga ,114313690.00,114201828.00,-111862.00,-0.10,"Tunjangan Keluarga1 th x 114.201.828,00 = 114.201.828,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.03 ,Tunjangan Jabatan ,49128000.00,47887000.00,-1241000.00,-2.53,"Tunjangan jabatan1 th x 47.887.000,00 = 47.887.000,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.04 ,Tunjangan Fungsional ,0.00,0.00,0.00,0.00,"Tunjangan Fungsional1 th x 0,00 = 0,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.05 ,Tunjangan Fungsional Umum ,71550000.00,63255000.00,-8295000.00,-11.59,"Tunjangan Fungsional Umum1 th x 63.255.000,00 = 63.255.000,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.06 ,Tunjangan Beras ,87227560.00,75709140.00,-11518420.00,-13.21,"Tunjangan Beras1 th x 75.709.140,00 = 75.709.140,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.07 ,Tunjangan PPh/Tunjangan Khusus ,28542402.00,36459241.00,7916839.00,27.74,"Tunjangan PPh/Tunjangan Khusus1 th x 36.459.241,00 = 36.459.241,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.08 ,Pembulatan Gaji ,41348.00,23091.00,-18257.00,-44.15,"Pembulatan Gaji1 th x 23.091,00 = 23.091,00"
1.22 . 1.22.01 . 00.00 . 5.1.1.01.09 ,Iuran Asuransi Kesehatan ,0.00,0.00,0.00,0.00,"Iuran Asuransi Kesehatan1 th x 0,00 = 0,00"
1.22 . 1.22.01 . 01.01 . 5.2 ,BELANJA LANGSUNG ,7721985820.00,8504752942.00,782767122.00,10.14,
1.22 . 1.22.01 . 01 ,Program Pelayanan Administrasi Perkantoran ,96361000.00,273406344.00,177045344.00,183.73,
1.22 . 1.22.01 . 01.01 ,Pelayanan Jasa Administrasi Perkantoran ,5601000.00,3600000.00,-2001000.00,-35.73,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.01 . 5.2.2 ,Belanja Barang dan Jasa ,5601000.00,3600000.00,-2001000.00,-35.73,
1.22 . 1.22.01 . 01.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,5601000.00,3600000.00,-2001000.00,-35.73,
1.22 . 1.22.01 . 01.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",5601000.00,3600000.00,-2001000.00,-35.73,"Belanja Materai
Materai 3000420 lembar x 3.000,00 = 1.260.000,00
Materai 6000390 lembar x 6.000,00 = 2.340.000,00"
1.22 . 1.22.01 . 01.02 ,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",6000000.00,8000000.00,2000000.00,33.33,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.02 . 5.2.2 ,Belanja Barang dan Jasa ,6000000.00,8000000.00,2000000.00,33.33,
1.22 . 1.22.01 . 01.02 . 5.2.2.03 ,Belanja Jasa Kantor ,6000000.00,8000000.00,2000000.00,33.33,
1.22 . 1.22.01 . 01.02 . 5.2.2.03.01 ,Belanja Telepon ,6000000.00,6500000.00,500000.00,8.33,"Belanja Telepon
Telepon1 LS x 6.500.000,00 = 6.500.000,00"
1.22 . 1.22.01 . 01.02 . 5.2.2.03.06 ,Belanja Kawat/Faksimili/Internet ,0.00,1500000.00,1500000.00,0.00,"Belanja Kawat/faksimili/Internet
Belanja Jaringan Speedy5 bulan x 300.000,00 = 1.500.000,00"
1.22 . 1.22.01 . 01.06 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional,1650000.00,1850000.00,200000.00,12.12,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.22 . 1.22.01 . 01.06 . 5.2.2 ,Belanja Barang dan Jasa ,1650000.00,1850000.00,200000.00,12.12,
1.22 . 1.22.01 . 01.06 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,1650000.00,1850000.00,200000.00,12.12,
