Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,
Daerah,Kabupaten Bantul,,
Tahun,2016,,
Kode Organisasi,1.01.01,,
Organisasi,Dinas Pendidikan Dasar,,
Kolom,4,,
No. Rekening,Uraian,Jumlah,Keterangan
1.01 . 1.01.01 . 00 . 00 . 5,BELANJA,573354470075,
1.01 . 1.01.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,529243733000,
1.01 . 1.01.01 . 00 . 00,Non Kegiatan,529243733000,Sumber Dana : 
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,529243733000,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01,Belanja Gaji dan Tunjangan,331814896000,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 01,Gaji Pokok PNS/Uang Representasi,267318776240," Gaji Pokok1 th x 267.318.776.240,00 = 267.318.776.240,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 02,Tunjangan Keluarga,22652642116," Tunjangan Keluarga1 th x 22.652.642.116,00 = 22.652.642.116,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 03,Tunjangan Jabatan,345361800," Tunjangan Jabatan1 th x 345.361.800,00 = 345.361.800,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 04,Tunjangan Fungsional,22659489500," Tunjangan Fungsional1 th x 22.659.489.500,00 = 22.659.489.500,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 05,Tunjangan Fungsional Umum,1925872200," Tunjganan Fungsional Umum1 th x 1.925.872.200,00 = 1.925.872.200,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 06,Tunjangan Beras,11848048160," Tunjangan Beras1 th x 11.848.048.160,00 = 11.848.048.160,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 07,Tunjangan PPh/Tunjangan Khusus,5061264581," Tunjjangan PPh/Tunjangan Khusus1 th x 5.061.264.581,00 = 5.061.264.581,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 01 . 08,Pembulatan Gaji,3441403," Pembulatan Gaji1 th x 3.441.403,00 = 3.441.403,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 02,Belanja Tambahan Penghasilan PNS,197428837000,
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 02 . 05,Tambahan Penghasilan Berdasarkan Prestasi Kerja,1363200000," Tambahan Penghasilan Berdasarkan Prestasi Kerja6,816 orang/bulan x 200.000,00 = 1.363.200.000,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 02 . 06,Tunjangan Profesi Guru PNSD,195547600000," Tunjangan Profesi Guru PNSD1 th x 195.547.600.000,00 = 195.547.600.000,00"
1.01 . 1.01.01 . 00 . 00 . 5 . 1 . 1 . 02 . 07,Tambahan Penghasilan Guru PNSD,518037000," Tambahan Penghasilan Guru PNSD1 th x 518.037.000,00 = 518.037.000,00"
1.01 . 1.01.01 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,44110737075,
1.01 . 1.01.01 . 01,Program Pelayanan Administrasi Perkantoran,1258467500,
